,OFCmed_L,Thal_PuI_L,SN_pr_R,Precuneus_R,Temporal_Inf_R,Cerebellum_6_R,Thal_AV_L,Paracentral_Lobule_R,Thal_PuL_R,Frontal_Med_Orb_R,Cuneus_L,Thal_MDl_R,Vermis_6,Frontal_Sup_Medial_L,Heschl_R,Cerebellum_10_R,Caudate_R,Precentral_R,Thal_PuA_R,Putamen_L,Frontal_Med_Orb_L,Calcarine_L,Thal_MGN_R,SupraMarginal_R,Postcentral_L
OFCmed_L,1.0,0.16588282037455104,0.17133532818524422,0.03489374566678139,0.20691594228921326,0.22326328740171933,0.28980032903236974,-0.008810037286204135,0.275504405820956,0.16064319025712817,-0.05949697539944889,0.20921414947877365,0.03604297518567312,0.14062754690424217,0.18082901883575417,0.3388709912266019,0.2731388603180442,-0.07004415834309796,0.28891077668636295,0.2115937927780559,0.16832374263667627,0.04549729518022061,0.004510347562499966,0.09534810013233813,-0.016243811782451073
Thal_PuI_L,0.16588282037455104,1.0,0.05162135138838264,0.29883332024993686,0.5742482901831495,0.5807848659954497,0.5366142553211086,0.23593055583281206,0.15822343833692468,0.20117745509965856,0.42441388783500866,0.33389726516732715,0.5148263047276985,0.2536563701985881,0.05185517348102601,0.42739614442202356,0.2487464089472093,0.10429890053401511,0.3132032497946075,0.28155692857848075,-0.2528121547441449,0.5186950220206484,0.044769546650789666,0.5043631802379718,0.08759622121671659
SN_pr_R,0.17133532818524422,0.05162135138838264,1.0,-0.003096101815216353,0.2205006983668603,0.12261681493355793,0.13068207403834267,-0.17199009143039096,0.44632620663659445,-0.32340412703990973,-0.28567980315316055,0.24568254701628445,-0.1183756296155127,0.3395908290868659,0.46001103697815193,0.26261332553248046,0.5821764815296822,-0.04265488531823778,0.4323170558504277,0.3294858762820017,0.008686012796496391,-0.03908567611833447,0.5278237082787405,0.08966879992227643,-0.06502641352892434
Precuneus_R,0.03489374566678139,0.29883332024993686,-0.003096101815216353,1.0,0.44558455936557095,0.5281705496191371,0.2374419051262231,0.9076954702993726,0.12629736735927607,-0.1178496950038262,0.701629866534597,0.11880212274412628,0.5413421296714205,0.6617332617881091,-0.3311569090945846,0.38971295599762334,0.34214180518204024,0.7383719848837547,-0.18105808056482234,0.3698616939000191,-0.35563964976980145,0.785347529922564,0.14754293038122654,0.5560691840522185,0.830316339147701
Temporal_Inf_R,0.20691594228921326,0.5742482901831495,0.2205006983668603,0.44558455936557095,1.0,0.9186798819931773,0.5787047577337233,0.41291729765154317,0.1369533325721275,0.1541240070630446,0.4083713485407753,0.5837533156977674,0.6431951391998386,0.43949176993542355,0.3311695340801833,0.6995717099229328,0.4910486246109503,-0.08919275112460155,0.43301042385199634,0.5256884529015294,-0.2278154085702758,0.648102721030474,0.06695937286919122,0.280787947346277,0.2108995222458013
Cerebellum_6_R,0.22326328740171933,0.5807848659954497,0.12261681493355793,0.5281705496191371,0.9186798819931773,1.0,0.4833693593679121,0.5540379479825711,0.09474819905150823,0.18275011067374583,0.5194985136371094,0.46347510662601354,0.7963967414077686,0.4664464379600246,0.13551678106371273,0.674361318431164,0.366330213678979,0.03917035370525121,0.3431901062939117,0.36942076468230295,-0.3182583558652133,0.7888430854069712,0.020752335142221297,0.21356220429512207,0.29145080733067424
Thal_AV_L,0.28980032903236974,0.5366142553211086,0.13068207403834267,0.2374419051262231,0.5787047577337233,0.4833693593679121,1.0,0.08585698073396082,0.41955689763734366,0.3552214449780465,0.2469059283114741,0.4953352899240943,0.39840978438493296,0.3921936822975047,0.4002021504461377,0.5198562227822268,0.5560345760151963,-0.028793353104259296,0.4813661710308029,0.4657534832087187,-0.018421221820145488,0.3359215747627842,-0.18557678247048,0.5240828135270895,0.0933305572146236
Paracentral_Lobule_R,-0.008810037286204135,0.23593055583281206,-0.17199009143039096,0.9076954702993726,0.41291729765154317,0.5540379479825711,0.08585698073396082,1.0,-0.07587055856828452,-0.0669271633024754,0.6564334984635922,0.03135298291227253,0.606992318310256,0.5638978683409385,-0.5089717970130943,0.2777648580803968,0.12402447985849493,0.6814652270721221,-0.3151333365148238,0.24162452440710355,-0.31006696087257746,0.811259588867243,0.07683244531320309,0.2993593382126414,0.8059235189101585
Thal_PuL_R,0.275504405820956,0.15822343833692468,0.44632620663659445,0.12629736735927607,0.1369533325721275,0.09474819905150823,0.41955689763734366,-0.07587055856828452,1.0,0.013284455247908304,-0.05130223699312749,0.42652248366562817,-0.05202965914751069,0.4193908515610793,0.4579086532246582,0.3677872469697733,0.6081242525200137,0.11437090887325854,0.5621544327702439,0.4009040939619933,0.02805239973707249,-0.03236282903963042,0.023333276605440337,0.30313466705417136,0.21103395956679766
Frontal_Med_Orb_R,0.16064319025712817,0.20117745509965856,-0.32340412703990973,-0.1178496950038262,0.1541240070630446,0.18275011067374583,0.3552214449780465,-0.0669271633024754,0.013284455247908304,1.0,-0.0037479817104758666,0.17383178250537226,0.1551422915742278,-0.18911073100702258,0.02609796420583001,0.16527952191429562,-0.0005104008711711823,-0.18621928169929355,0.13949828782366427,0.08257526539337874,0.15013480964643108,0.04727623761141555,-0.2859069625742935,-0.0233828568826026,-0.13808522123292827
Cuneus_L,-0.05949697539944889,0.42441388783500866,-0.28567980315316055,0.701629866534597,0.4083713485407753,0.5194985136371094,0.2469059283114741,0.6564334984635922,-0.05130223699312749,-0.0037479817104758666,1.0,0.14519920615790782,0.6959443552737082,0.3291779654003958,-0.23257142724590932,0.19465515673485673,-0.018623933217023148,0.4944126830380855,-0.14898529522228623,-0.004278110378980732,-0.45560674525959793,0.7626962185154842,-0.15925670047008272,0.4887373189807038,0.6062358125363747
Thal_MDl_R,0.20921414947877365,0.33389726516732715,0.24568254701628445,0.11880212274412628,0.5837533156977674,0.46347510662601354,0.4953352899240943,0.03135298291227253,0.42652248366562817,0.17383178250537226,0.14519920615790782,1.0,0.11943513281084406,0.28498234658507887,0.5242984831225028,0.40113709447315543,0.5226402001737034,-0.20457971193714997,0.7376683780303571,0.6236844788791432,-0.21478544082069745,0.2239287237603679,0.0781871777394875,0.1560946777593533,-0.037729019370544556
Vermis_6,0.03604297518567312,0.5148263047276985,-0.1183756296155127,0.5413421296714205,0.6431951391998386,0.7963967414077686,0.39840978438493296,0.606992318310256,-0.05202965914751069,0.1551422915742278,0.6959443552737082,0.11943513281084406,1.0,0.44913231317672525,-0.11767905983747946,0.4039095835570099,0.13499021861013183,0.252571438314227,0.012557912494437882,0.033889888983830364,-0.43957267259491783,0.835745523895962,-0.18682972608257822,0.27786092789036626,0.4315759791204509
Frontal_Sup_Medial_L,0.14062754690424217,0.2536563701985881,0.3395908290868659,0.6617332617881091,0.43949176993542355,0.4664464379600246,0.3921936822975047,0.5638978683409385,0.4193908515610793,-0.18911073100702258,0.3291779654003958,0.28498234658507887,0.44913231317672525,1.0,0.13007877555620487,0.367020364317673,0.6803610549967547,0.439367656354727,0.20670593697225964,0.5196518757565598,-0.32328265423722513,0.5406576217176675,0.21071820061149713,0.3737170015247656,0.6001478558811533
