,SN_pr_L,OFCpost_L,Rectus_R,Red_N_L,Vermis_4_5,Parietal_Inf_R,Cerebellum_4_5_L,Temporal_Sup_L,Thal_AV_R,Cingulate_Post_R,Frontal_Med_Orb_L,Vermis_10,Vermis_3,Precuneus_R,Cerebellum_4_5_R,ParaHippocampal_R,Cerebellum_7b_R,Cingulate_Mid_L,Cerebellum_Crus1_L,Vermis_6,Frontal_Inf_Tri_R,Rolandic_Oper_R,OFCant_R,Red_N_R,Vermis_8
SN_pr_L,1.0,0.4297990837506228,0.3086800893397657,0.6489302958488111,0.2949389031283056,0.04686506202816463,0.5667687657543022,0.5608145855485893,-0.053833417994305584,0.4360458913351793,0.3183381732413699,0.2995537235718846,0.6417454400381052,0.20447392377251927,0.5475429459222729,0.3435316778240937,-0.011191261958465305,0.20408912557845477,-0.26356064482231967,0.31996167201998155,0.37496144039893137,0.5231777094943899,0.30815037626648467,0.13511276848128057,-0.14975927076078388
OFCpost_L,0.4297990837506228,1.0,-0.042423563482293085,0.2673957612660189,-0.15842567352826165,-0.06838555708724636,-0.053806223478239004,0.2724322992197086,-0.3987041286444886,0.07953263073766538,0.16986975715210786,-0.005714833146286788,0.11263704303712042,-0.22715354845659624,0.09645051340417203,0.09483617482514764,0.07118977374514183,-0.23468653262556446,-0.10030147203130317,0.12074799737805204,-0.03549204445995223,-0.053658427331104736,0.12355900790769306,0.1653683348266993,0.10938543078422985
Rectus_R,0.3086800893397657,-0.042423563482293085,1.0,0.3188326846364132,0.06406038129870906,0.1667983350157796,0.155458481431682,0.09938383379779331,0.2601248589246156,0.18556832505797446,0.25597590779206236,0.619541086578868,0.21776175504092124,0.3966827470834235,0.16985620022902886,0.4938200986334579,-0.5053552499961956,0.4762955156941473,-0.20710056934082893,-0.31623619333304637,0.6106086801328631,0.44617214507571784,0.771118728476518,-0.5048593294630507,-0.4346081504479332
Red_N_L,0.6489302958488111,0.2673957612660189,0.3188326846364132,1.0,0.38098285328605974,0.10192287097332298,0.49951574191452985,0.48820971085442416,-0.008266305193118313,0.39086493710302234,0.1323034467439011,0.39578630617270255,0.5840195999011185,0.25260006955721176,0.5439381642480259,0.390274886844632,-0.0807910625679242,0.2046622444343787,-0.37780450866986987,0.38105093871697127,0.4359467941233099,0.5543134622578625,0.3722807807364342,0.13720719770374665,-0.1303645373037188
Vermis_4_5,0.2949389031283056,-0.15842567352826165,0.06406038129870906,0.38098285328605974,1.0,0.3774797454316933,0.8542812251983636,0.3829341701225621,0.07547554907334654,0.5628633335314748,0.14608004875634503,0.3711173693482063,0.5254166696466348,0.6185823760239181,0.8143332296371436,0.2987863298340246,0.24920935671231825,0.300199616708181,-0.010187395382416633,0.6446138420232155,0.28229799598376876,0.5817258372479681,-0.03453035618903538,0.2688790850362831,0.29550365312290955
Parietal_Inf_R,0.04686506202816463,-0.06838555708724636,0.1667983350157796,0.10192287097332298,0.3774797454316933,1.0,0.3940699499048122,0.11377758034047958,-0.0064668348674306545,0.27327039058056096,0.18915984120166282,0.4065605183308154,0.22631667929821947,0.7750442690985301,0.3730948609481256,0.368236030003574,-0.00717473536281705,0.6385281556934532,0.10858312838956663,0.04814219305529776,0.37252255584898747,0.3828958084318889,0.13399673691291863,-0.0011384504918218706,-0.04071586465782901
Cerebellum_4_5_L,0.5667687657543022,-0.053806223478239004,0.155458481431682,0.49951574191452985,0.8542812251983636,0.3940699499048122,1.0,0.5723152746878818,0.09918690569654742,0.6346226151639142,0.25450561249747394,0.4104902494247363,0.7360073415647221,0.6102128965999166,0.8862674674062573,0.3262764262582434,0.23364716557206003,0.43608838231851366,-0.12170042741434536,0.6061838179480926,0.3912020972705031,0.7184982678179099,0.032858801230601635,0.25923328306484833,0.06546664999360537
Temporal_Sup_L,0.5608145855485893,0.2724322992197086,0.09938383379779331,0.48820971085442416,0.3829341701225621,0.11377758034047958,0.5723152746878818,1.0,0.06163776914801187,0.38327713991482537,0.09603098738805387,0.2688144281322273,0.6242674903945193,0.2431889089346223,0.637722787234052,0.1992363728741875,0.13591468220289205,0.25403979552529227,-0.3538515969122818,0.545622386997906,0.1755157300239114,0.3795180806758607,-0.0765405596438042,0.19168614998262626,-0.012386407675167225
Thal_AV_R,-0.053833417994305584,-0.3987041286444886,0.2601248589246156,-0.008266305193118313,0.07547554907334654,-0.0064668348674306545,0.09918690569654742,0.06163776914801187,1.0,0.10712563350183706,-0.2802535630155647,-0.0005672520861362919,-0.08355801905616757,0.17205283820169223,0.006818605015697948,-0.09458893419754201,-0.11928350064971856,0.23085999566113685,-0.13917703187696354,-0.10141546301736028,0.07163438944511354,0.15595149640727526,0.06903439379886017,-0.10720698830489803,-0.14902282709502518
Cingulate_Post_R,0.4360458913351793,0.07953263073766538,0.18556832505797446,0.39086493710302234,0.5628633335314748,0.27327039058056096,0.6346226151639142,0.38327713991482537,0.10712563350183706,1.0,0.044470203454202516,0.370396322704594,0.48377980970206,0.5372435350126844,0.6806662719070515,0.3830985601126788,0.11732472010459012,0.43788696804027893,0.04556845568534427,0.3625435102862465,0.3772377831288754,0.6027390125155119,0.1486384134168053,0.08010661705102101,0.026881115504240934
Frontal_Med_Orb_L,0.3183381732413699,0.16986975715210786,0.25597590779206236,0.1323034467439011,0.14608004875634503,0.18915984120166282,0.25450561249747394,0.09603098738805387,-0.2802535630155647,0.044470203454202516,1.0,0.13143847694257257,0.20559573167984316,0.18750731728872785,0.24369416583475761,0.3558767437172937,-0.011031113134953566,0.10044142466107175,-0.01130076230019778,0.06196339269923914,0.21420915210018776,0.22389488210746705,0.16470746686822077,0.07831158423761153,-0.03269946103945945
Vermis_10,0.2995537235718846,-0.005714833146286788,0.619541086578868,0.39578630617270255,0.3711173693482063,0.4065605183308154,0.4104902494247363,0.2688144281322273,-0.0005672520861362919,0.370396322704594,0.13143847694257257,1.0,0.4696992230209965,0.5718550459406557,0.5081628036542203,0.6563437047535425,-0.45377423260088057,0.6247995869266688,-0.012256682313068546,-0.11174401955591323,0.6578447697150058,0.5979175082858457,0.5241640194602644,-0.2710135418164363,-0.2920509864045802
Vermis_3,0.6417454400381052,0.11263704303712042,0.21776175504092124,0.5840195999011185,0.5254166696466348,0.22631667929821947,0.7360073415647221,0.6242674903945193,-0.08355801905616757,0.48377980970206,0.20559573167984316,0.4696992230209965,1.0,0.4366645611214366,0.7547014764572367,0.4820399611485186,0.03681241462222818,0.428534945215983,-0.21793581051699457,0.4303478912742795,0.571689251793439,0.6485242146934428,0.2425722334232747,0.059375080277378964,-0.18515940117142682
Precuneus_R,0.20447392377251927,-0.22715354845659624,0.3966827470834235,0.25260006955721176,0.6185823760239181,0.7750442690985301,0.6102128965999166,0.2431889089346223,0.17205283820169223,0.5372435350126844,0.18750731728872785,0.5718550459406557,0.4366645611214366,1.0,0.565180893108939,0.5372677744023048,-0.07994314234414927,0.7901269211306063,0.09504812181182244,0.12346836142982676,0.5901541180199535,0.6337346411468743,0.3453772630658177,-0.07139576319479324,-0.06805407990428561
Cerebellum_4_5_R,0.5475429459222729,0.09645051340417203,0.16985620022902886,0.5439381642480259,0.8143332296371436,0.3730948609481256,0.8862674674062573,0.637722787234052,0.006818605015697948,0.6806662719070515,0.24369416583475761,0.5081628036542203,0.7547014764572367,0.565180893108939,1.0,0.49712675799544187,0.18817816410599633,0.4419578554626613,-0.06899656117883876,0.6077495649675267,0.42464857363660563,0.7279720600434588,0.055776522456475075,0.2565547105441775,0.1605169132183025
ParaHippocampal_R,0.3435316778240937,0.09483617482514764,0.4938200986334579,0.390274886844632,0.2987863298340246,0.368236030003574,0.3262764262582434,0.1992363728741875,-0.09458893419754201,0.3830985601126788,0.3558767437172937,0.6563437047535425,0.4820399611485186,0.5372677744023048,0.49712675799544187,1.0,-0.3557588491827095,0.5320814157797803,0.09634051191804018,-0.07895942456169697,0.7796530071495364,0.6170922461726287,0.5365177472575615,-0.31663765018731815,-0.2250975668428267
Cerebellum_7b_R,-0.011191261958465305,0.07118977374514183,-0.5053552499961956,-0.0807910625679242,0.24920935671231825,-0.00717473536281705,0.23364716557206003,0.13591468220289205,-0.11928350064971856,0.11732472010459012,-0.011031113134953566,-0.45377423260088057,0.03681241462222818,-0.07994314234414927,0.18817816410599633,-0.3557588491827095,1.0,-0.22394678546635133,0.09917802427798957,0.5135761918788331,-0.35051320363761523,-0.17737775953931875,-0.49517931762809053,0.5138664677805402,0.5958299578881309
Cingulate_Mid_L,0.20408912557845477,-0.23468653262556446,0.4762955156941473,0.2046622444343787,0.300199616708181,0.6385281556934532,0.43608838231851366,0.25403979552529227,0.23085999566113685,0.43788696804027893,0.10044142466107175,0.6247995869266688,0.428534945215983,0.7901269211306063,0.4419578554626613,0.5320814157797803,-0.22394678546635133,1.0,0.03116465617315075,-0.12972177919356004,0.6616932117785099,0.6839885889920453,0.4282972942078127,-0.24071023125213015,-0.34566533882994294
Cerebellum_Crus1_L,-0.26356064482231967,-0.10030147203130317,-0.20710056934082893,-0.37780450866986987,-0.010187395382416633,0.10858312838956663,-0.12170042741434536,-0.3538515969122818,-0.13917703187696354,0.04556845568534427,-0.01130076230019778,-0.012256682313068546,-0.21793581051699457,0.09504812181182244,-0.06899656117883876,0.09634051191804018,0.09917802427798957,0.03116465617315075,1.0,-0.2605274054816058,0.030069071001830157,-0.08993051057391493,-0.17989673086085964,0.099696094570353,0.3524064201156163
Vermis_6,0.31996167201998155,0.12074799737805204,-0.31623619333304637,0.38105093871697127,0.6446138420232155,0.04814219305529776,0.6061838179480926,0.545622386997906,-0.10141546301736028,0.3625435102862465,0.06196339269923914,-0.11174401955591323,0.4303478912742795,0.12346836142982676,0.6077495649675267,-0.07895942456169697,0.5135761918788331,-0.12972177919356004,-0.2605274054816058,1.0,-0.17749397439549217,0.1966523833619773,-0.3553161810014508,0.4726472807650949,0.4358206043178663
Frontal_Inf_Tri_R,0.37496144039893137,-0.03549204445995223,0.6106086801328631,0.4359467941233099,0.28229799598376876,0.37252255584898747,0.3912020972705031,0.1755157300239114,0.07163438944511354,0.3772377831288754,0.21420915210018776,0.6578447697150058,0.571689251793439,0.5901541180199535,0.42464857363660563,0.7796530071495364,-0.35051320363761523,0.6616932117785099,0.030069071001830157,-0.17749397439549217,1.0,0.7115854815037014,0.661112368980564,-0.37761994425832957,-0.40348067501768037
Rolandic_Oper_R,0.5231777094943899,-0.053658427331104736,0.44617214507571784,0.5543134622578625,0.5817258372479681,0.3828958084318889,0.7184982678179099,0.3795180806758607,0.15595149640727526,0.6027390125155119,0.22389488210746705,0.5979175082858457,0.6485242146934428,0.6337346411468743,0.7279720600434588,0.6170922461726287,-0.17737775953931875,0.6839885889920453,-0.08993051057391493,0.1966523833619773,0.7115854815037014,1.0,0.4537628401229645,-0.06792442274530956,-0.20861417160432366
OFCant_R,0.30815037626648467,0.12355900790769306,0.771118728476518,0.3722807807364342,-0.03453035618903538,0.13399673691291863,0.032858801230601635,-0.0765405596438042,0.06903439379886017,0.1486384134168053,0.16470746686822077,0.5241640194602644,0.2425722334232747,0.3453772630658177,0.055776522456475075,0.5365177472575615,-0.49517931762809053,0.4282972942078127,-0.17989673086085964,-0.3553161810014508,0.661112368980564,0.4537628401229645,1.0,-0.5565109021703517,-0.4810551446391436
Red_N_R,0.13511276848128057,0.1653683348266993,-0.5048593294630507,0.13720719770374665,0.2688790850362831,-0.0011384504918218706,0.25923328306484833,0.19168614998262626,-0.10720698830489803,0.08010661705102101,0.07831158423761153,-0.2710135418164363,0.059375080277378964,-0.07139576319479324,0.2565547105441775,-0.31663765018731815,0.5138664677805402,-0.24071023125213015,0.099696094570353,0.4726472807650949,-0.37761994425832957,-0.06792442274530956,-0.5565109021703517,1.0,0.5396458053458679
Vermis_8,-0.14975927076078388,0.10938543078422985,-0.4346081504479332,-0.1303645373037188,0.29550365312290955,-0.04071586465782901,0.06546664999360537,-0.012386407675167225,-0.14902282709502518,0.026881115504240934,-0.03269946103945945,-0.2920509864045802,-0.18515940117142682,-0.06805407990428561,0.1605169132183025,-0.2250975668428267,0.5958299578881309,-0.34566533882994294,0.3524064201156163,0.4358206043178663,-0.40348067501768037,-0.20861417160432366,-0.4810551446391436,0.5396458053458679,1.0
