,Occipital_Mid_R,Occipital_Inf_L,Olfactory_R,OFClat_L,Frontal_Inf_Orb_2_R,ParaHippocampal_L,Thal_VA_R,Thal_MGN_L,Angular_L,Calcarine_R,SupraMarginal_R,Vermis_4_5,Insula_R,Vermis_6,Lingual_L
Occipital_Mid_R,1.0,-0.41254061254858226,0.47410377423795635,-0.4043333871084467,0.26178183914832337,0.3930885708022802,0.1598048996042525,-0.07447321353001891,0.688394692266105,0.08361466123728736,0.4375547450612561,-0.08957193416468309,0.40328348656394375,-0.14654838172293855,-0.32566401235068
Occipital_Inf_L,-0.41254061254858226,1.0,-0.9392290191251161,0.4563034493589785,-0.893205290318869,-0.7882822593687985,-0.67855368451594,0.3330344986925341,-0.800858523414957,0.6454384282827155,0.2224840901261326,-0.3650521913989291,-0.25422650827061566,0.6371061934228148,0.9124670473701639
Olfactory_R,0.47410377423795635,-0.9392290191251161,1.0,-0.40515672401062264,0.8914160337295327,0.8512146995755506,0.7513207639219349,-0.2602083656821514,0.8698999048183437,-0.4831699584209463,-0.25732502747558816,0.4204005263348719,0.4165560849654348,-0.5116917908358504,-0.813514022833467
OFClat_L,-0.4043333871084467,0.4563034493589785,-0.40515672401062264,1.0,-0.4312890399049074,-0.19144928307080522,-0.18609368917033528,0.16303654195583706,-0.5360545246849991,0.24052727644701435,0.1503087441084073,0.20883380845831737,0.014365965517491771,0.25193574408310543,0.44836820457085924
Frontal_Inf_Orb_2_R,0.26178183914832337,-0.893205290318869,0.8914160337295327,-0.4312890399049074,1.0,0.7555988057347378,0.8141232181195733,-0.2183656195076654,0.7542737739539113,-0.48755784594978346,-0.4399930288741859,0.40199124228901445,0.22476585394288562,-0.42410456473076774,-0.7923885772535453
ParaHippocampal_L,0.3930885708022802,-0.7882822593687985,0.8512146995755506,-0.19144928307080522,0.7555988057347378,1.0,0.6688232421385049,-0.24841081053198713,0.6453538694726303,-0.3545282355874255,-0.15997222760821805,0.5597603397979202,0.5042233483897901,-0.36598925710500996,-0.6307193259149863
Thal_VA_R,0.1598048996042525,-0.67855368451594,0.7513207639219349,-0.18609368917033528,0.8141232181195733,0.6688232421385049,1.0,-0.11238280622169168,0.6154999615190191,-0.20525813057377396,-0.3917689148319994,0.5904814455785885,0.38003501012882246,-0.13280914344858438,-0.4786263460667451
Thal_MGN_L,-0.07447321353001891,0.3330344986925341,-0.2602083656821514,0.16303654195583706,-0.2183656195076654,-0.24841081053198713,-0.11238280622169168,1.0,-0.17014670764005524,0.49146752005578964,0.20598570697026544,-0.009517114456677295,0.1431631993989408,0.3987062037086,0.41391056844101515
Angular_L,0.688394692266105,-0.800858523414957,0.8698999048183437,-0.5360545246849991,0.7542737739539113,0.6453538694726303,0.6154999615190191,-0.17014670764005524,1.0,-0.26850298008212015,-0.1274667026759147,0.17986141271461512,0.4407601438427303,-0.38550229931592894,-0.6995490222787452
Calcarine_R,0.08361466123728736,0.6454384282827155,-0.4831699584209463,0.24052727644701435,-0.48755784594978346,-0.3545282355874255,-0.20525813057377396,0.49146752005578964,-0.26850298008212015,1.0,0.2922321284091629,0.05361792861321363,0.22236926882500083,0.7891522565843516,0.8195906252103616
SupraMarginal_R,0.4375547450612561,0.2224840901261326,-0.25732502747558816,0.1503087441084073,-0.4399930288741859,-0.15997222760821805,-0.3917689148319994,0.20598570697026544,-0.1274667026759147,0.2922321284091629,1.0,-0.12970732094091575,0.30875407213027956,0.12559246410760164,0.2546982946620205
Vermis_4_5,-0.08957193416468309,-0.3650521913989291,0.4204005263348719,0.20883380845831737,0.40199124228901445,0.5597603397979202,0.5904814455785885,-0.009517114456677295,0.17986141271461512,0.05361792861321363,-0.12970732094091575,1.0,0.44070213248529616,0.05149052830368252,-0.07639479159231367
Insula_R,0.40328348656394375,-0.25422650827061566,0.4165560849654348,0.014365965517491771,0.22476585394288562,0.5042233483897901,0.38003501012882246,0.1431631993989408,0.4407601438427303,0.22236926882500083,0.30875407213027956,0.44070213248529616,1.0,0.05220748529977698,-0.027150933275617618
Vermis_6,-0.14654838172293855,0.6371061934228148,-0.5116917908358504,0.25193574408310543,-0.42410456473076774,-0.36598925710500996,-0.13280914344858438,0.3987062037086,-0.38550229931592894,0.7891522565843516,0.12559246410760164,0.05149052830368252,0.05220748529977698,1.0,0.7960235171263006
Lingual_L,-0.32566401235068,0.9124670473701639,-0.813514022833467,0.44836820457085924,-0.7923885772535453,-0.6307193259149863,-0.4786263460667451,0.41391056844101515,-0.6995490222787452,0.8195906252103616,0.2546982946620205,-0.07639479159231367,-0.027150933275617618,0.7960235171263006,1.0
