,Putamen_L,Cerebellum_9_R,ACC_sub_L,Temporal_Sup_R,Vermis_8,Thal_MDl_R,Paracentral_Lobule_R,Supp_Motor_Area_R,Occipital_Sup_L,OFCant_L,Pallidum_R,Thal_PuM_R,Caudate_R,Rolandic_Oper_L,Cingulate_Mid_R,Red_N_L,Hippocampus_R,Temporal_Pole_Sup_L,SN_pc_L,Frontal_Sup_2_R,Frontal_Sup_2_L,Thal_VL_L,VTA_R,Cerebellum_3_R,Heschl_R
Putamen_L,1.0,0.023156698317131873,-0.15445779194631643,0.25996765458957993,-0.20222498870548122,0.7156112701648519,0.5140019439902656,0.5273867710147084,-0.0950203102752565,-0.15600598255991555,0.722130924765163,0.28846018437573956,0.6203031910262002,0.30152555692992317,0.54157795362073,-0.09810571758390119,0.7126612612359468,-0.04958548038735763,0.16671315600543546,0.6199955508242296,0.45937318171030483,0.6288933220791793,0.0556715737672097,0.6829210902618416,0.6361194468531786
Cerebellum_9_R,0.023156698317131873,1.0,-0.18710766517393246,0.10924432557402698,0.19731884920374732,0.06985364619811775,0.4623035283925496,0.3336296929804159,0.4748114351450272,0.045703441970623315,-0.002318195711347304,0.3463781040691306,0.10442723281764581,-0.15371046842240288,0.3743187751624779,0.4078714018225924,0.15445367253162476,0.16858762005751404,0.23557177670770996,0.1388622485515178,-0.04165738580149838,0.3180447809916975,0.27780296951853867,-0.030755069476255593,-0.14910485134067974
ACC_sub_L,-0.15445779194631643,-0.18710766517393246,1.0,-0.5771072468337408,-0.21135255309681633,-0.05070482940731288,-0.47155808620094175,-0.2855702742099893,0.06319528505943381,0.4818844359971845,-0.33339287313534505,-0.24545320770137924,-0.02029727207774364,0.6287589956542298,0.030845298273945523,0.14355071227304966,-0.28994410656939407,0.11623292736222837,0.3153133993195237,0.2383956856110891,0.5373508862765269,-0.23413517934887482,0.33150983818398116,0.04068340857637763,-0.22693467616516802
Temporal_Sup_R,0.25996765458957993,0.10924432557402698,-0.5771072468337408,1.0,0.31418134069541814,0.06128870953520248,0.40402733330772245,0.4330488533537138,0.021689481474517814,-0.41693723630233737,0.5551304617434704,0.4159111084898764,0.38598613974662194,-0.38605256237773483,0.13134214144537895,-0.3482388847450483,0.6238746720871466,-0.1934033229168505,-0.37627132005291636,0.1525301673069474,-0.08394908298059965,0.18683147570920733,-0.0841860782782371,0.17005045437888663,0.6364148034758575
Vermis_8,-0.20222498870548122,0.19731884920374732,-0.21135255309681633,0.31418134069541814,1.0,-0.14883325219009705,0.184894192484344,0.15757533627365203,0.28668171809399084,-0.1095620794778948,-0.04433518437089277,0.3861447836529732,-0.06637673773649871,-0.21731514489937379,0.07321594059511857,0.2060860184674461,0.0805287751544462,-0.18774228020487227,0.05334229725376834,-0.11319582426854367,-0.1869422002553018,0.1164149196429394,-0.16511673819605696,-0.17134467490270078,-0.12643843130852775
Thal_MDl_R,0.7156112701648519,0.06985364619811775,-0.05070482940731288,0.06128870953520248,-0.14883325219009705,1.0,0.3747146294707391,0.3971678462801903,-0.15289972295424567,-0.02267646874733607,0.5784259893338716,0.2939020366363799,0.4534880614467903,0.32464788008926315,0.4550366475200804,0.16569327330461592,0.5519775318616194,-0.002792620850301831,0.39719944109638416,0.45949978943227954,0.30816881522557954,0.6579628012936288,0.02816312200518643,0.4716067010421794,0.37766549333334476
Paracentral_Lobule_R,0.5140019439902656,0.4623035283925496,-0.47155808620094175,0.40402733330772245,0.184894192484344,0.3747146294707391,1.0,0.6934101450445178,0.2932254436701303,-0.2449128441408691,0.46851139622951465,0.6178847552647225,0.4422739575458693,-0.08995310591690588,0.5583124315124856,0.15901713032206435,0.6201504673502632,-0.07432425696327133,0.18309223297285945,0.3630325186567468,0.044347597301474084,0.6631771823666252,-0.07074761513199508,0.4077555052460034,0.322329159950415
Supp_Motor_Area_R,0.5273867710147084,0.3336296929804159,-0.2855702742099893,0.4330488533537138,0.15757533627365203,0.3971678462801903,0.6934101450445178,1.0,0.3322321476544836,-0.15791028633062948,0.43196767773281286,0.6316043656562387,0.2778595984564869,0.026928953893603388,0.7414690390127173,0.13095333260863753,0.6398090111158868,-0.06528686208417489,0.22074746403116033,0.4634682057196104,0.21639061827649042,0.45852169421347333,0.06572964030727545,0.5900961368624671,0.40850103271818344
Occipital_Sup_L,-0.0950203102752565,0.4748114351450272,0.06319528505943381,0.021689481474517814,0.28668171809399084,-0.15289972295424567,0.2932254436701303,0.3322321476544836,1.0,0.09235519622225902,-0.38394097062135846,0.3617428987210163,-0.14031599629059405,0.06373700782815675,0.4561758143385831,0.46663813822812045,-0.024157847230791573,0.0519056294757935,0.3348816802933564,0.07094092139205234,0.18856833654478627,0.05479071818693496,0.07275029650711086,0.13176950001021523,-0.21535063492674525
OFCant_L,-0.15600598255991555,0.045703441970623315,0.4818844359971845,-0.41693723630233737,-0.1095620794778948,-0.02267646874733607,-0.2449128441408691,-0.15791028633062948,0.09235519622225902,1.0,-0.12015201274628026,-0.10152415675643166,-0.12884265190388827,0.35295748644746644,0.14891186228712486,0.4339372618513385,-0.05592885373476607,0.4928269344978178,0.15909033376299153,0.2764064205739236,0.36405364396584283,-0.15858212505509794,0.4639000910064514,0.19041180993183576,-0.19379336710146985
