,Thal_LGN_L,SupraMarginal_L,SN_pr_R,Cerebellum_8_L,Olfactory_R,ACC_sub_L,Frontal_Inf_Orb_2_L,Cerebellum_8_R,Rectus_L,OFCant_L,Lingual_L,Occipital_Sup_R,Caudate_L,Heschl_L,ACC_pre_R,Fusiform_L,OFClat_R,Vermis_10,Calcarine_L,Vermis_9,Thal_PuI_R,VTA_R,Thal_PuM_L,Frontal_Sup_2_L,Supp_Motor_Area_L,Temporal_Inf_R,Thal_PuA_R,Frontal_Inf_Orb_2_R,Thal_PuM_R,Frontal_Inf_Tri_L,ParaHippocampal_L,Thal_MGN_L,SN_pc_R,Cerebellum_4_5_R,Frontal_Inf_Oper_R
Thal_LGN_L,1.0,-0.15400295094721805,0.43458281059411574,0.032233466038075705,0.21280528415158384,0.09298001881298087,0.3592750499004061,-0.01988739342680949,0.0445298538215912,0.2417818987012175,0.00021614560839146635,-0.1688912312216195,0.27487746894737325,0.5356197081470141,0.48912359312409637,0.39028538004471636,0.15530246704981754,0.20470043450031108,0.09045215170433611,-0.050101391974667696,-0.27543695230596416,0.2432188854930948,0.04887879864028076,-0.01600238417850452,-0.16685232786207374,-0.11420163553842373,0.2775829535369941,0.10576170289542011,-0.041743329564141604,0.26062368799545055,0.48454692472477123,0.3112035596681638,0.27726361431827984,0.08488594000198556,0.042037553853447415
SupraMarginal_L,-0.15400295094721805,1.0,-0.36464682839527873,0.51609125132231,-0.588638263657984,-0.638185211070467,-0.5186737143172525,0.5236605270284777,-0.5617940732241982,-0.7216521424440179,0.6589182135480107,0.3796614716724963,-0.3035978643321733,-0.08893947717369068,-0.4899599519997823,0.12909674414382571,-0.34436254735858846,4.0343419759857864e-05,0.5521730952279764,0.3466998933153319,0.16797186568358036,-0.4530251379685842,-0.4370313729277771,0.7228060441917213,0.7486072206529459,0.3579815181448101,0.12300427519648446,-0.4894891836361005,-0.3075371847378852,0.41505214451024336,-0.6185936869556888,-0.1015667108968526,-0.41336931623989615,0.272118901552712,0.13562805851883142
SN_pr_R,0.43458281059411574,-0.36464682839527873,1.0,-0.12767149556001256,0.5385982319657386,0.42082910245101096,0.5613300581610279,-0.4357484345221941,0.10385304527555889,0.5299402038743232,-0.42769327905888815,-0.35268373733638425,0.4768830723781886,0.29457100629691463,0.5681657050825774,0.1096882222775413,0.5148549798685339,0.3412313690264589,-0.35802155241115874,-0.10605566468295469,-0.002875904593417531,0.5922433934411211,0.2184294233027231,-0.23041455868298075,-0.31100773637143675,-0.21895831704926055,0.2303822257006465,0.5163761326130152,0.31979286439843874,0.11569853829911683,0.5785930476441099,-0.12078164295211649,0.7083066015638414,-0.027819138029578024,0.04156131599654751
Cerebellum_8_L,0.032233466038075705,0.51609125132231,-0.12767149556001256,1.0,-0.5313796207020097,-0.5625804242933361,-0.4555724842415651,0.7802656405171542,-0.5216685503709707,-0.5564300651942014,0.667921109559343,0.5697139200999306,0.04895151379349103,-0.16776759546612882,-0.2928314972653745,0.06363408772764306,-0.3605009819703315,-0.2088731964348583,0.5066051779628202,0.3178218691697065,0.1309772710126994,-0.4082501549425978,-0.4642388324785957,0.5060513986095033,0.5794512547545848,0.35597518508140913,0.06003963499389141,-0.43441759633518195,-0.4459936760331187,0.08033982241315091,-0.43727771752699024,-0.08824783332752294,-0.2100251875577578,0.3118333635019719,0.13501729207856808
Olfactory_R,0.21280528415158384,-0.588638263657984,0.5385982319657386,-0.5313796207020097,1.0,0.8088548935657641,0.7653372665617747,-0.6618639485015054,0.6572744956110244,0.8108121298786399,-0.7011866639447693,-0.603818186266009,0.3219577930463406,0.373516191736627,0.6651506133355215,0.07855697760599235,0.6721793569404588,0.19755180500128702,-0.5663915635845034,-0.26361240150540033,-0.16949138357685412,0.6494986666238152,0.5943417071730871,-0.5440801889767706,-0.6582081393869136,-0.3838946659887599,-0.09122528983668232,0.8954934227504916,0.5176431195921668,0.07925010953072538,0.7431971695984476,-0.11535530401303051,0.6581577074329871,-0.39066017852860124,-0.04259498514173342
ACC_sub_L,0.09298001881298087,-0.638185211070467,0.42082910245101096,-0.5625804242933361,0.8088548935657641,1.0,0.6764049823525531,-0.6108081194397516,0.651946363183038,0.846547745810997,-0.7450529332822455,-0.5375638648043439,0.09267615163319927,0.2582758036754385,0.707306776996727,0.014176701603982465,0.6498964979871497,0.17438381007003279,-0.621604907436763,-0.28199136853804263,-0.013137599762263388,0.6739569254831963,0.5696331002736433,-0.5723024949166863,-0.740978018606692,-0.47035358657410326,-0.18123353448881194,0.7610823566030942,0.5711546246500603,0.07598336692464916,0.7017475985147547,-0.06550522273982019,0.5822066392556992,-0.403604601577086,0.015584555567826786
Frontal_Inf_Orb_2_L,0.3592750499004061,-0.5186737143172525,0.5613300581610279,-0.4555724842415651,0.7653372665617747,0.6764049823525531,1.0,-0.44905297927306204,0.5135672778551401,0.8572542907713516,-0.6956110863533148,-0.5002255338848368,0.175202808183133,0.46763383073604337,0.7543611306781702,0.34293848145540257,0.40680510357544325,0.07141661309981731,-0.6367051770128209,-0.5184342081109159,-0.23629561458129247,0.8075382431670213,0.2562346424345139,-0.6813350860314455,-0.7480057387613369,-0.8000051137463345,-0.09907162016312826,0.6979886876111658,0.4090932003986213,0.1850461006612644,0.5899414966252575,-0.30373140686106276,0.6440865727925288,-0.6358008377511359,-0.06023435131083216
Cerebellum_8_R,-0.01988739342680949,0.5236605270284777,-0.4357484345221941,0.7802656405171542,-0.6618639485015054,-0.6108081194397516,-0.44905297927306204,1.0,-0.48947731846023695,-0.585545091470526,0.7109876496281428,0.6277670524579397,-0.18923534754214366,-0.2177362810453843,-0.3653053967940559,0.21536160147282857,-0.5993224849502441,-0.40048728817779367,0.5108298263896851,0.14748172514335028,0.01000536061188552,-0.4785158924767456,-0.5735388447037991,0.36105180786351715,0.43847889858349515,0.17656070651613381,0.10861913032357974,-0.5888996246518422,-0.5471766469362296,0.05129101207036433,-0.5912354664125721,-0.005331425533153715,-0.5534571234065091,0.15112752369939808,0.07992807576919751
Rectus_L,0.0445298538215912,-0.5617940732241982,0.10385304527555889,-0.5216685503709707,0.6572744956110244,0.651946363183038,0.5135672778551401,-0.48947731846023695,1.0,0.6683056127236914,-0.5330320876209953,-0.3277721880340583,0.2174146340087208,0.32835366483938977,0.4682056626431364,0.1753162341571042,0.5104836020958025,0.13363746133455603,-0.3294312011867023,-0.12512142941745955,-0.022705298630093,0.39595192116658473,0.5464984940665568,-0.45774873000432365,-0.5318249379412838,-0.34638450023831646,-0.34612388129371013,0.5122039592514767,0.408915812561562,-0.008825852935276707,0.6338562231710171,0.0010427286926698374,0.2996010911507875,-0.30849053517958863,0.03113453168225479
OFCant_L,0.2417818987012175,-0.7216521424440179,0.5299402038743232,-0.5564300651942014,0.8108121298786399,0.846547745810997,0.8572542907713516,-0.585545091470526,0.6683056127236914,1.0,-0.7846757666678463,-0.4689029763676696,0.2329769703907454,0.3049350410323559,0.7720182352591596,0.17714724388941983,0.5143322783270512,0.134351951331023,-0.6800379436319811,-0.4223895225014316,-0.0965515385072176,0.7822617518383429,0.4410104759226864,-0.7483421369599091,-0.831805450961984,-0.689544191853722,-0.1631557602573189,0.6938604919872093,0.49690881156355865,-0.035909908542081044,0.7248511087820925,-0.1613065216175529,0.6663748750204477,-0.550771811108042,-0.004761642087446329
Lingual_L,0.00021614560839146635,0.6589182135480107,-0.42769327905888815,0.667921109559343,-0.7011866639447693,-0.7450529332822455,-0.6956110863533148,0.7109876496281428,-0.5330320876209953,-0.7846757666678463,1.0,0.6547092966006837,-0.0592161261969929,-0.18599504365713684,-0.5208349306583028,0.10384551111443979,-0.524691083425155,-0.16301141100876254,0.8434417768457468,0.3930906606363568,-0.014767326384043123,-0.6780436465729114,-0.48141940900135205,0.6195535567774672,0.6777061838648236,0.5561217216969775,0.15275471958547768,-0.6212708577292082,-0.6483488286733111,0.021778125318924813,-0.5206364622249278,0.221448231751542,-0.5891499165367641,0.5344376128839575,0.11390443267415579
Occipital_Sup_R,-0.1688912312216195,0.3796614716724963,-0.35268373733638425,0.5697139200999306,-0.603818186266009,-0.5375638648043439,-0.5002255338848368,0.6277670524579397,-0.3277721880340583,-0.4689029763676696,0.6547092966006837,1.0,0.06237124222688415,-0.2706513378523596,-0.31251359953875896,0.20004029870823273,-0.4165689107207145,-0.12497835598620183,0.5815982556293544,0.3140332577212856,0.24744402677720312,-0.42005432432088313,-0.5756635072642418,0.22345235136609926,0.3457983947278451,0.2211865165379048,0.04857348755763931,-0.52808757002967,-0.5046301301210159,-0.16259634284730912,-0.41253424749096845,0.017665689156677752,-0.4640921862505074,0.3153656520535711,0.3023876077832458
Caudate_L,0.27487746894737325,-0.3035978643321733,0.4768830723781886,0.04895151379349103,0.3219577930463406,0.09267615163319927,0.175202808183133,-0.18923534754214366,0.2174146340087208,0.2329769703907454,-0.0592161261969929,0.06237124222688415,1.0,0.20530620151790432,0.28806598999299915,0.25190416098499435,0.3051302399487927,0.3601520266452343,0.09144634989183378,0.16690202083869807,0.09046554197792694,0.20636297841858992,0.28079957721239734,-0.07755146717885532,-0.05477015736409207,0.07301144991927457,-0.026047219955005956,0.2761923227420562,0.015688506590629838,-0.1618618642585852,0.417823136171418,0.12689975082637997,0.40899156098259487,0.292720183932078,0.3573346325420034
