,Occipital_Mid_L,Calcarine_R,Precuneus_R,Thal_IL_R,Vermis_10,Cerebellum_4_5_R,SupraMarginal_R,Thal_MDm_R,Precentral_R,Frontal_Sup_Medial_L
Occipital_Mid_L,1.0,0.1717528008034794,-0.01541665568372988,-0.031627388517546914,0.026787710374599243,-0.07611609587607786,0.0450807357868428,0.3397416614742293,0.22366914151190023,0.2330847380953494
Calcarine_R,0.1717528008034794,1.0,0.6553284213756665,0.4080051715249241,0.7477754590925504,0.7770737183940312,0.4918899502816358,0.38914391216655275,0.5854435188164291,0.40011072204332054
Precuneus_R,-0.01541665568372988,0.6553284213756665,1.0,0.3418243062861912,0.5179233543187557,0.6127373702968828,0.7863789851138534,0.5209976862728851,0.5031080511131963,-0.09029880215893393
Thal_IL_R,-0.031627388517546914,0.4080051715249241,0.3418243062861912,1.0,0.42086433325760525,0.46339565415676937,0.3608153985875196,0.629385056309679,0.48929065862238924,0.270186093100078
Vermis_10,0.026787710374599243,0.7477754590925504,0.5179233543187557,0.42086433325760525,1.0,0.8572057083483736,0.4888899715598165,0.37500247100623507,0.36118546339126717,0.34519867423918466
Cerebellum_4_5_R,-0.07611609587607786,0.7770737183940312,0.6127373702968828,0.46339565415676937,0.8572057083483736,1.0,0.5098890632282334,0.33695946010284217,0.46522519083903746,0.3555957217454789
SupraMarginal_R,0.0450807357868428,0.4918899502816358,0.7863789851138534,0.3608153985875196,0.4888899715598165,0.5098890632282334,1.0,0.6409524150161746,0.5512702840202051,-0.1582104119052084
Thal_MDm_R,0.3397416614742293,0.38914391216655275,0.5209976862728851,0.629385056309679,0.37500247100623507,0.33695946010284217,0.6409524150161746,1.0,0.5801742723602009,0.07168655741135808
Precentral_R,0.22366914151190023,0.5854435188164291,0.5031080511131963,0.48929065862238924,0.36118546339126717,0.46522519083903746,0.5512702840202051,0.5801742723602009,1.0,0.43772407863749613
Frontal_Sup_Medial_L,0.2330847380953494,0.40011072204332054,-0.09029880215893393,0.270186093100078,0.34519867423918466,0.3555957217454789,-0.1582104119052084,0.07168655741135808,0.43772407863749613,1.0
