,N_Acc_L,Cingulate_Post_L,Thal_LP_L,Thal_IL_L,OFClat_L,Thal_MDm_L,Putamen_R,OFCpost_L,Frontal_Mid_2_L,ParaHippocampal_R
N_Acc_L,1.0,0.10518870423978455,0.16197035685608072,0.23986152007781877,0.19214360657513424,0.19835073963186983,0.30080846139541867,0.47785708577251224,0.38267305596986406,0.05100869249479282
Cingulate_Post_L,0.10518870423978455,1.0,0.40350035871047407,0.42845960288330714,0.442360436524811,0.5133091721154901,0.31950455278112116,0.061021901314148294,0.6797988480450434,0.6348439367079405
Thal_LP_L,0.16197035685608072,0.40350035871047407,1.0,0.03651453812328156,0.15136376083074854,0.1359209431376723,0.15622817268617573,-0.007712206511391846,0.40144204323234706,0.29700614623945465
Thal_IL_L,0.23986152007781877,0.42845960288330714,0.03651453812328156,1.0,0.4864234713833183,0.6446536482194657,0.5526206937805825,0.37353270463475446,0.5890780845200201,0.5318191446425057
OFClat_L,0.19214360657513424,0.442360436524811,0.15136376083074854,0.4864234713833183,1.0,0.45452750802022013,0.48658627963793455,0.4192416045987465,0.5037707952199018,0.473822307043867
Thal_MDm_L,0.19835073963186983,0.5133091721154901,0.1359209431376723,0.6446536482194657,0.45452750802022013,1.0,0.5812015950220839,0.2377188616505951,0.7368105371537379,0.6377830080818885
Putamen_R,0.30080846139541867,0.31950455278112116,0.15622817268617573,0.5526206937805825,0.48658627963793455,0.5812015950220839,1.0,0.6422845710686268,0.6396926928844534,0.3230447182745103
OFCpost_L,0.47785708577251224,0.061021901314148294,-0.007712206511391846,0.37353270463475446,0.4192416045987465,0.2377188616505951,0.6422845710686268,1.0,0.4681265707281823,-0.07631139145074445
Frontal_Mid_2_L,0.38267305596986406,0.6797988480450434,0.40144204323234706,0.5890780845200201,0.5037707952199018,0.7368105371537379,0.6396926928844534,0.4681265707281823,1.0,0.5564970297518952
ParaHippocampal_R,0.05100869249479282,0.6348439367079405,0.29700614623945465,0.5318191446425057,0.473822307043867,0.6377830080818885,0.3230447182745103,-0.07631139145074445,0.5564970297518952,1.0
