,Postcentral_L,Thal_PuI_R,Vermis_6,Thal_PuM_L,SN_pr_R,ACC_sup_L,OFCpost_R,Cerebellum_8_R,Thal_VL_L,Pallidum_R,Caudate_R,VTA_L,Temporal_Pole_Sup_R,Frontal_Sup_2_R,Thal_VA_L,Occipital_Mid_L,Vermis_4_5,Frontal_Inf_Tri_R,Thal_VA_R,Thal_LGN_L,Cerebellum_4_5_R,Thal_VL_R,ACC_sub_L,Occipital_Mid_R,Calcarine_L,ACC_sup_R,Cerebellum_9_L,Cerebellum_Crus2_L,Insula_R,Cuneus_R,Pallidum_L,Thal_PuM_R,Vermis_9,Vermis_1_2,Thal_MDl_L,Thal_PuL_R,Thal_LGN_R,Vermis_3,Thal_MDm_L,Thal_MGN_R,Frontal_Med_Orb_L,Thal_LP_R,Vermis_8,Thal_PuA_R,Thal_VPL_R
Postcentral_L,1.0,0.6527289629003975,0.2705838425057952,0.7614429869622026,-0.014108319500504661,0.6736571211808782,-0.02499591239571354,0.08837487860870655,0.5789603679620409,0.5454894484029293,0.5714153974383337,0.08540714169386124,0.04061127324615529,0.7475842382160516,0.577260781265646,0.4420814347321852,0.8295346849040047,0.6296562860343662,0.5509626496040075,0.6775524020109865,0.7834405705075479,0.6293538141512347,0.1834925763565287,0.2689444194670379,0.5677980785410203,0.4069044821534992,0.45636164938907803,-0.2448294808640134,0.5256340922834971,0.39036684264688687,0.5473026755614541,0.7654868901691365,0.3563600385010321,0.7113237843637995,0.528246251289575,0.4544075968601392,0.6636328495577308,0.873109664002958,0.5177549006587129,0.4828039386753078,0.24600498781648464,0.6362460322894379,0.24238173473487648,0.6000754469315274,0.7141811549305773
Thal_PuI_R,0.6527289629003975,1.0,0.21221566387761803,0.5818134058204377,0.06710914764565544,0.6512424117709887,-0.2274759955355978,0.24300064532108334,0.25589536419254505,0.3504974466493015,0.4472584993242265,0.209947720546758,0.2143476060892,0.7271062062543485,0.3341096116086739,0.10022994562994585,0.7478074368679658,0.4768528560361758,0.34160274167853405,0.6318401336325015,0.5610278476353188,0.3606138897600406,-0.21119896599521398,0.19571198808092907,0.45335570681514126,0.29169848233253626,0.40478707026286437,-0.07218809378248058,0.500584707163275,0.17474555849521814,0.36616441322041793,0.6776209091280039,0.3568803614892236,0.4982585721211322,0.34431766829044075,0.46374650793818284,0.5817583540641726,0.68796343046798,0.2325407737934267,0.5727290006261012,-0.17141514010766484,0.43803166265238913,0.26737889463941134,0.44053221990594843,0.5906994301423317
Vermis_6,0.2705838425057952,0.21221566387761803,1.0,0.27752368915138437,-0.09509806949836386,0.04257667968379617,0.15754463841869187,0.31522977963183135,-0.020076418186297174,0.024428044066701127,-0.11567965017225804,-0.43060020694076423,0.3295702680970329,0.2948016735761278,-0.1645185051180583,0.44822139034511954,0.5690235970185776,0.05034770497596134,0.26852813764321365,0.13223908776656598,0.008816684311482515,-0.07754931749343698,-0.15229619191655094,0.6174379362707384,0.6741202045883811,0.025634223735760905,0.7579854948695252,0.4972151300545013,0.5787332905477944,0.5789529809626773,-0.35784594426948085,0.4022812949542017,0.7136967223687922,0.21399962934556832,-0.27859885931767847,0.2539609046508578,-0.10906494111806248,0.23005002334099353,-0.1603689382368923,0.0025309670441095882,-0.2090884505488474,-0.0030018816050453928,0.7573495722573172,0.23966263967596285,0.05333906084820844
Thal_PuM_L,0.7614429869622026,0.5818134058204377,0.27752368915138437,1.0,-0.017552455904482202,0.7015115924873669,-0.03829023424996507,0.4245415037053308,0.7845702532251976,0.5186520258622648,0.6842769194945306,0.11685589696427402,0.2953067355369959,0.7724193637170382,0.6589215918319429,0.36926297605057695,0.789413034696172,0.5414735806342534,0.4593290856605721,0.48962068786037194,0.5171945624197409,0.7608279339086745,-0.15167136055763483,0.30979411826096326,0.7791053856152585,0.13873982768441526,0.5684719798195431,0.013460774779328031,0.612130420672201,0.31277265396509835,0.32265776404704205,0.7045378058314328,0.567692767937204,0.4278574985367759,0.526481702671779,0.5728211363745513,0.4649020702177441,0.7317466399154697,0.6914938877669726,0.3171909348544533,-0.17406000336287536,0.6859280810884618,0.40565181201474954,0.7320066252030787,0.7271067495081216
SN_pr_R,-0.014108319500504661,0.06710914764565544,-0.09509806949836386,-0.017552455904482202,1.0,0.17936393639343487,0.35597100779967783,0.15512838715659702,0.06384652661273273,0.22802401665447974,0.25800775036218243,0.4974313714492445,0.4672769001582399,0.09885564567896178,-0.1833341442301879,-0.1276664147807304,0.041429007081315285,-0.04807243342246971,0.2551145763436203,-0.12656269438752135,0.019594826013318876,-0.003820501694531263,-0.1885419199725597,-0.26980482041507536,-0.009553633094972383,0.07418000384218651,-0.10894528760283786,0.023381741054940775,-0.2224432057058321,-0.30855750459357195,0.12353432198166427,0.07924811963719856,-0.025514315321862237,0.39537741205832566,0.023237152800107738,-0.20385610933292753,0.11783435595460155,0.05931946161959992,0.050609258919162764,0.07444782248377851,-0.10893102017756873,-0.1878127084053747,0.04183417179122876,-0.07880371208282456,0.03256056531509255
ACC_sup_L,0.6736571211808782,0.6512424117709887,0.04257667968379617,0.7015115924873669,0.17936393639343487,1.0,-0.13439272627864227,0.3212269619104926,0.537532700403553,0.5893339893550562,0.7739093019292986,0.35697623303091763,0.20545365769376622,0.8228498343776773,0.53017123504801,0.16516711831772482,0.6810293129943089,0.48437887404531504,0.42280429807288555,0.5467233804284373,0.5569963908848894,0.615672027839445,-0.17203229712052273,0.0047650496904691805,0.45986587530079204,0.23989002540459126,0.39410751599355665,-0.06002331481888848,0.4345019448768714,-0.013832235109039746,0.5009442562921891,0.5984555946234148,0.3488871332461158,0.4334887155486206,0.585872608035757,0.46128954356080926,0.5434522143567092,0.6395141766105134,0.550613586070746,0.44862420998133096,-0.14011657843912953,0.5755555045085403,0.2500184829600828,0.4207662985096472,0.6592598005197967
OFCpost_R,-0.02499591239571354,-0.2274759955355978,0.15754463841869187,-0.03829023424996507,0.35597100779967783,-0.13439272627864227,1.0,0.03113147435338246,0.14451723111916762,0.18858275564100802,0.0641412802408811,-0.008449592122038852,0.33406629511603136,-0.07515100588827046,-0.1500309085935749,0.21010910846613637,-0.07642976783602563,-0.052658362463717856,0.3238114973172945,-0.3256956973505788,-0.12067705968187263,-0.023163570254404454,0.24501135486329056,0.036873016379116705,0.07940029257012159,0.022557909963173087,0.03798503927627601,0.20768435209160271,-0.014868625934870866,-0.04622161777649563,-0.010764533513576816,-0.0841836684589957,0.056511205807747426,0.08827782754288174,-0.2079924952547465,-0.25234460678327314,-0.11498157855906257,-0.0538682353004454,0.10127660910331511,-0.1132060744931028,0.19263717030126634,-0.27194024419943585,0.054592409696551,-0.019182295659441122,-0.07461189622783947
Cerebellum_8_R,0.08837487860870655,0.24300064532108334,0.31522977963183135,0.4245415037053308,0.15512838715659702,0.3212269619104926,0.03113147435338246,1.0,0.16594377686079886,-0.0014490802504276456,0.25242867550621195,-0.12579520292781968,0.6001455751038678,0.447425434040302,-0.11183136715045612,0.33576905015212893,0.455056452736615,-0.2599243230511182,0.272657232290032,0.14118464729114621,-0.33471530172429226,0.025398611306393704,-0.5106221665877727,0.10870419476510838,0.654149969291038,-0.2790750434449413,0.6325251968312952,0.5029742836403445,0.21837246385143788,-0.15993993425235567,-0.03874151202908249,0.14155092050091442,0.7874517229963577,0.08658951638806422,-0.22340545580216972,0.2896512362262742,-0.15128536258594655,0.13559626907599767,0.11295533148417225,0.15663039731829098,-0.608065362088918,-0.026063280043369948,0.6393886550465646,0.24304056281226089,0.08996183476311717
Thal_VL_L,0.5789603679620409,0.25589536419254505,-0.020076418186297174,0.7845702532251976,0.06384652661273273,0.537532700403553,0.14451723111916762,0.16594377686079886,1.0,0.593408431692481,0.7553880427751595,0.31240175272318027,0.10271816213930007,0.5073655881163869,0.7791757047338972,0.1450163032079142,0.430398934494051,0.6076385702778533,0.3645075528806337,0.16008515714940952,0.499915972367718,0.8970299209654781,-0.029036772508473054,0.07407443493755465,0.5164091535536293,0.1523266017018046,0.2001066965627202,-0.15690897483515218,0.35926630735381987,0.1133672925308544,0.3568752211914713,0.47898357487160365,0.2169354306709717,0.3298388807284399,0.6446544458849967,0.271672864069716,0.4699340088741135,0.5800262456086974,0.9077107324830558,0.11073039004539442,-0.02390058327110476,0.6635745595531776,0.06687693399472443,0.741476654887754,0.6839322964384152
Pallidum_R,0.5454894484029293,0.3504974466493015,0.024428044066701127,0.5186520258622648,0.22802401665447974,0.5893339893550562,0.18858275564100802,-0.0014490802504276456,0.593408431692481,1.0,0.6628966285237301,0.2806249425443628,0.16899198002777274,0.5291077082844275,0.5763467229248274,0.10186499394844709,0.4098339668615274,0.5217950688797858,0.6154512809461076,0.27604650127401026,0.5529495395200332,0.6443221348495607,0.0965808271057105,-0.06707656360650514,0.33883332673772537,0.3799241478651622,0.21256875782503049,-0.18143421130885226,0.3930877035158124,0.01521850232014791,0.5630806467491121,0.3958723880078456,0.15450121061422709,0.32474142233885117,0.5419405082752141,0.09224557098646415,0.5378210800234288,0.47217068623599534,0.6474311656986591,0.2549709778341085,0.11585000072871954,0.4721280763482575,0.06576603412678265,0.4410639653898047,0.5186995835925488
