,OFCmed_R,Caudate_R,Putamen_L,Temporal_Mid_L,Rectus_R,Paracentral_Lobule_L,Thal_VL_L,SN_pc_R,Thal_PuL_L,Vermis_10,Vermis_3,Putamen_R,Amygdala_R,N_Acc_L,Thal_LGN_R
OFCmed_R,1.0,-0.1837141951650074,0.3259856357692443,-0.2288606835758745,0.9452867201551476,-0.043774913258696264,-0.03223666229489824,0.15433175821521009,0.26968695279760274,0.21964230149676184,-0.020735940284148817,0.409845489213667,0.016346952625281127,0.43451459083659116,0.0423440820884782
Caudate_R,-0.1837141951650074,1.0,0.5585921756134179,0.3215332584208303,-0.15303949410263404,0.552026657620441,0.7553880427751595,0.4563620057110388,0.4153551996956114,0.37629499388033993,0.5742794073947818,0.37085721604230226,-0.17287700771262146,-0.09392012971844475,0.5951496377894797
Putamen_L,0.3259856357692443,0.5585921756134179,1.0,0.034405217370409906,0.28204615763956814,0.4961403784165724,0.644195099984271,0.42213667123884585,0.6258035433935505,0.6361341014939053,0.6271921049496237,0.7831484288659003,-0.182853901387819,-0.10956644838756967,0.6774342483901817
Temporal_Mid_L,-0.2288606835758745,0.3215332584208303,0.034405217370409906,1.0,-0.14280810874575675,0.5126607529303203,0.31093642471092,-0.1296499925074502,-0.06194783831977181,-0.04171384489697145,0.31998951727000324,-0.3598672695158318,0.37333790819970525,0.1012456771279302,0.010480489794864418
Rectus_R,0.9452867201551476,-0.15303949410263404,0.28204615763956814,-0.14280810874575675,1.0,-0.04307713806689205,-0.028747235446881098,0.1564287198970949,0.21394243240046298,0.14256026731229574,-0.04109018527970453,0.32186379043444885,0.04800524078377386,0.5506880846677009,-0.000997667898548582
Paracentral_Lobule_L,-0.043774913258696264,0.552026657620441,0.4961403784165724,0.5126607529303203,-0.04307713806689205,1.0,0.4224520141658386,0.22939503649808313,0.2734819220835858,0.7534569343197796,0.8308984858680777,0.38955948339813734,-0.12332048265803124,-0.029733982861338853,0.610608130602194
Thal_VL_L,-0.03223666229489824,0.7553880427751595,0.644195099984271,0.31093642471092,-0.028747235446881098,0.4224520141658386,1.0,0.1948126832737443,0.5037255511469931,0.35679581883966055,0.5800262456086974,0.375564346159732,0.0941407153847859,-0.19214320708100285,0.4699340088741135
SN_pc_R,0.15433175821521009,0.4563620057110388,0.42213667123884585,-0.1296499925074502,0.1564287198970949,0.22939503649808313,0.1948126832737443,1.0,0.3978489754764785,0.3120338225494579,0.20588522149892538,0.4417915216214362,-0.5739676176082777,0.06266376989324345,0.6052259717319138
Thal_PuL_L,0.26968695279760274,0.4153551996956114,0.6258035433935505,-0.06194783831977181,0.21394243240046298,0.2734819220835858,0.5037255511469931,0.3978489754764785,1.0,0.4100126116349371,0.3882173295594663,0.5941161705575285,-0.15799073581381667,-0.1751574127851487,0.48567953366369715
Vermis_10,0.21964230149676184,0.37629499388033993,0.6361341014939053,-0.04171384489697145,0.14256026731229574,0.7534569343197796,0.35679581883966055,0.3120338225494579,0.4100126116349371,1.0,0.8064442681564745,0.7320116638153722,-0.29750715028465496,-0.10721788827761124,0.708742518923101
Vermis_3,-0.020735940284148817,0.5742794073947818,0.6271921049496237,0.31998951727000324,-0.04109018527970453,0.8308984858680777,0.5800262456086974,0.20588522149892538,0.3882173295594663,0.8064442681564745,1.0,0.5175259465663546,-0.11384385622189987,-0.12176675996881998,0.7160265104589147
Putamen_R,0.409845489213667,0.37085721604230226,0.7831484288659003,-0.3598672695158318,0.32186379043444885,0.38955948339813734,0.375564346159732,0.4417915216214362,0.5941161705575285,0.7320116638153722,0.5175259465663546,1.0,-0.3359552513130938,-0.06941841129278223,0.6814546934528739
Amygdala_R,0.016346952625281127,-0.17287700771262146,-0.182853901387819,0.37333790819970525,0.04800524078377386,-0.12332048265803124,0.0941407153847859,-0.5739676176082777,-0.15799073581381667,-0.29750715028465496,-0.11384385622189987,-0.3359552513130938,1.0,0.11345451028678177,-0.43449731675902686
N_Acc_L,0.43451459083659116,-0.09392012971844475,-0.10956644838756967,0.1012456771279302,0.5506880846677009,-0.029733982861338853,-0.19214320708100285,0.06266376989324345,-0.1751574127851487,-0.10721788827761124,-0.12176675996881998,-0.06941841129278223,0.11345451028678177,1.0,-0.14695256613152743
Thal_LGN_R,0.0423440820884782,0.5951496377894797,0.6774342483901817,0.010480489794864418,-0.000997667898548582,0.610608130602194,0.4699340088741135,0.6052259717319138,0.48567953366369715,0.708742518923101,0.7160265104589147,0.6814546934528739,-0.43449731675902686,-0.14695256613152743,1.0
