,Thal_PuM_R,Parietal_Inf_R,Cerebellum_Crus1_L,Vermis_6,Thal_PuM_L,Angular_R,Cerebellum_8_L,Thal_MDm_R,OFCant_R,SN_pr_R,Red_N_R,Cerebellum_10_L,Cingulate_Post_R,Rectus_L,Rolandic_Oper_L
Thal_PuM_R,1.0,0.303444774234595,0.42899620397430105,0.3950244118829754,0.724623233651599,0.6461114143411284,0.05897534759876963,0.04026608950848339,-0.3281082685365733,-0.09781007163664862,0.566988702207372,0.6888694001164055,0.3846481193024641,-0.6041840972563354,0.18720777340418043
Parietal_Inf_R,0.303444774234595,1.0,-0.1629285303394381,0.04945254210424809,0.2675334772359728,0.4558378844823666,-0.1907764305102473,-0.04836717702213831,0.2327285687077422,0.17826265413027262,-0.009716859120700127,0.1719358857015259,0.02069358351474287,-0.22316431897663438,-0.017538600187854764
Cerebellum_Crus1_L,0.42899620397430105,-0.1629285303394381,1.0,0.34731080137152875,0.2854520073225746,0.1428189726264219,0.4346681542951457,0.0967514864471621,-0.5578972428778328,-0.20153560857112338,0.19055107809967484,0.28904307140691793,0.35778980946929173,-0.1500743378212497,0.33784584671982654
Vermis_6,0.3950244118829754,0.04945254210424809,0.34731080137152875,1.0,0.5145009136384099,0.39730359459928954,0.5724387882413836,0.27797096925249376,0.0877953863375297,-0.01177439471965812,0.5115260647059314,0.294916940860845,0.259129823478601,-0.16782715383131094,0.23504789900588494
Thal_PuM_L,0.724623233651599,0.2675334772359728,0.2854520073225746,0.5145009136384099,1.0,0.5389414465624235,0.43974617313133035,0.42566306127533454,-0.019250176328254,0.23701277534932258,0.659336286517404,0.7133635036926089,0.7014338250635783,-0.2959141209579052,0.5390803471376581
Angular_R,0.6461114143411284,0.4558378844823666,0.1428189726264219,0.39730359459928954,0.5389414465624235,1.0,0.12428083509523642,0.3629994287271076,0.04740118089779618,0.3759537373975863,0.1675487439432763,0.5179852936029776,0.10180131377656025,-0.3850654028463786,-0.016917807824010388
Cerebellum_8_L,0.05897534759876963,-0.1907764305102473,0.4346681542951457,0.5724387882413836,0.43974617313133035,0.12428083509523642,1.0,0.6622595398699059,0.113530783120847,0.35721367079259464,0.2966366701225139,0.21678647907777382,0.48177566872220773,0.20297161044012368,0.3684847802323192
Thal_MDm_R,0.04026608950848339,-0.04836717702213831,0.0967514864471621,0.27797096925249376,0.42566306127533454,0.3629994287271076,0.6622595398699059,1.0,0.3112668073156056,0.6813410154619602,0.07351481176850184,0.3011357014980979,0.29742675870786617,0.4260085221922414,0.20661242552545322
OFCant_R,-0.3281082685365733,0.2327285687077422,-0.5578972428778328,0.0877953863375297,-0.019250176328254,0.04740118089779618,0.113530783120847,0.3112668073156056,1.0,0.425548889645582,-0.2162851567250094,-0.16338737096819247,-0.1050152103036073,0.43803973512487343,-0.04373079143474691
SN_pr_R,-0.09781007163664862,0.17826265413027262,-0.20153560857112338,-0.01177439471965812,0.23701277534932258,0.3759537373975863,0.35721367079259464,0.6813410154619602,0.425548889645582,1.0,-0.2759830032806943,0.1833090202166215,0.08203120460683902,0.3462326362138132,-0.025370358009935565
Red_N_R,0.566988702207372,-0.009716859120700127,0.19055107809967484,0.5115260647059314,0.659336286517404,0.1675487439432763,0.2966366701225139,0.07351481176850184,-0.2162851567250094,-0.2759830032806943,1.0,0.4394871824357403,0.5296072230997898,-0.3936735023786748,0.4323560401729458
Cerebellum_10_L,0.6888694001164055,0.1719358857015259,0.28904307140691793,0.294916940860845,0.7133635036926089,0.5179852936029776,0.21678647907777382,0.3011357014980979,-0.16338737096819247,0.1833090202166215,0.4394871824357403,1.0,0.5323127688981691,-0.27650467086367103,0.4380469268692859
Cingulate_Post_R,0.3846481193024641,0.02069358351474287,0.35778980946929173,0.259129823478601,0.7014338250635783,0.10180131377656025,0.48177566872220773,0.29742675870786617,-0.1050152103036073,0.08203120460683902,0.5296072230997898,0.5323127688981691,1.0,-0.053129036736495265,0.7275729484899933
Rectus_L,-0.6041840972563354,-0.22316431897663438,-0.1500743378212497,-0.16782715383131094,-0.2959141209579052,-0.3850654028463786,0.20297161044012368,0.4260085221922414,0.43803973512487343,0.3462326362138132,-0.3936735023786748,-0.27650467086367103,-0.053129036736495265,1.0,0.13639898758028807
Rolandic_Oper_L,0.18720777340418043,-0.017538600187854764,0.33784584671982654,0.23504789900588494,0.5390803471376581,-0.016917807824010388,0.3684847802323192,0.20661242552545322,-0.04373079143474691,-0.025370358009935565,0.4323560401729458,0.4380469268692859,0.7275729484899933,0.13639898758028807,1.0
