,Thal_PuI_R,Fusiform_L,Thal_VPL_L,Lingual_L,Paracentral_Lobule_R,Frontal_Inf_Oper_L,Precentral_L,Thal_MDl_R,Occipital_Inf_L,VTA_L,Rolandic_Oper_R,Frontal_Sup_Medial_R,Thal_LP_R,Fusiform_R,Occipital_Inf_R,Cerebellum_4_5_L,Raphe_D,SN_pr_L,Frontal_Inf_Orb_2_L,Supp_Motor_Area_R,OFClat_R,Cerebellum_9_R,Thal_MDm_R,Thal_Re_L,Precuneus_R
Thal_PuI_R,1.0,0.43765569428565226,0.7386364415554787,0.01603459904895676,0.2937288386554924,0.6635290788083502,0.4515008785152749,0.39974713066463957,-0.2759908454629195,-0.23035085310936593,0.6262872366098546,0.5659906994998201,0.5829748321890722,0.1369017445018726,-0.32142757351174506,0.5397623430321985,0.22249490997666735,0.4618876132348592,0.5313142159610441,0.6142618403556593,0.03135079170569528,-0.23046500064483047,0.4138645874453311,0.5682189037819884,0.4772706050191547
Fusiform_L,0.43765569428565226,1.0,0.4329783222426516,0.63904745737129,-0.26430102336055394,0.579343184600387,-0.10898077788967259,-0.03795646346742595,0.5246897223936909,0.4108768732356614,0.4034556254136231,0.2157086374899223,0.6293869184523032,0.5970220126695384,0.3623509674305791,0.6546593198094821,0.6654510822465675,0.0656891434303195,0.2691436400850845,0.3937433523162112,-0.33276802429515023,0.5865629443270353,0.6681660970977616,0.13797527538264573,-0.07997903017771887
Thal_VPL_L,0.7386364415554787,0.4329783222426516,1.0,0.017105273829986972,0.2671752416255713,0.695068028605934,0.43464275448961814,0.35139657869361374,-0.331568129123851,-0.19910618313721165,0.589282702183112,0.6039671684004909,0.8175371047548956,0.3070425951315278,-0.2573782861692213,0.46821205111862557,0.4000550306338274,0.5009798996619825,0.5449703554823315,0.5681807432641572,0.23586038784320118,-0.20526434552787506,0.5056923263667485,0.45326243942141775,0.4224609557580411
Lingual_L,0.01603459904895676,0.63904745737129,0.017105273829986972,1.0,-0.2459785915973082,0.36173590045245785,-0.03129998729387088,0.017201667101171995,0.8005135111498363,0.6639210940506199,0.21381901293884417,0.03013907150175182,0.2483928393530601,0.649611172894729,0.7747034491598288,0.5766324175399054,0.335205125036357,-0.2582510469799794,-0.179873673409084,0.26078184178354546,-0.13038071454476075,0.7735256168727921,0.5039553868175215,-0.41344196261521016,-0.1316780302212054
Paracentral_Lobule_R,0.2937288386554924,-0.26430102336055394,0.2671752416255713,-0.2459785915973082,1.0,0.20412683454814165,0.826610755239003,0.5227455910117612,-0.5684007505442397,-0.40401925002733513,0.32033380436344716,0.43559613823679216,-0.05420084089076036,-0.3433126485404597,-0.5191823308595375,0.17972621724809715,-0.3510747530947077,0.4236289965980079,0.30777277667390474,0.5921409886857502,0.41113046430402633,-0.6633044793867721,0.056418612226902705,0.24195562700625114,0.9158059793517065
Frontal_Inf_Oper_L,0.6635290788083502,0.579343184600387,0.695068028605934,0.36173590045245785,0.20412683454814165,1.0,0.5042012271949544,0.3807219457073794,0.029592609408481664,0.016551982939953205,0.7029536368379763,0.5766324807242685,0.6763973822145156,0.4982635647113356,0.07586416831236868,0.6441219390959982,0.4327779174813283,0.2922605692150899,0.453056806784149,0.7038617719209479,-0.00917933909979969,0.10082698111460667,0.6156724367068406,0.31123643774308396,0.31638206869982305
Precentral_L,0.4515008785152749,-0.10898077788967259,0.43464275448961814,-0.03129998729387088,0.826610755239003,0.5042012271949544,1.0,0.5790037608398252,-0.4299549827887856,-0.2841969645167226,0.4689079512946154,0.49095504092329045,0.1410731199172993,-0.01946177977490896,-0.28344723413037354,0.40714440447220007,-0.2040345033027333,0.30763555154781647,0.21954195609110488,0.7425152289240149,0.4064293590299322,-0.4454655967061555,0.18943949046503394,0.22629089123926216,0.8045578055909686
Thal_MDl_R,0.39974713066463957,-0.03795646346742595,0.35139657869361374,0.017201667101171995,0.5227455910117612,0.3807219457073794,0.5790037608398252,1.0,-0.3678977741307276,-0.16546760173460429,0.6233502271252471,0.47918236579330575,0.008193381313541645,-0.11340530121578982,-0.3221910738224007,0.3786071073319631,-0.3716687182229011,0.4221646322407554,0.2108080915505999,0.5609589099262344,0.17937879666111622,-0.3922508846857827,0.2665254485067083,0.06652926724087023,0.5815821242681365
Occipital_Inf_L,-0.2759908454629195,0.5246897223936909,-0.331568129123851,0.8005135111498363,-0.5684007505442397,0.029592609408481664,-0.4299549827887856,-0.3678977741307276,1.0,0.7714300194849908,-0.09362089172508706,-0.24514732408422976,0.017738148300257727,0.46138367387120066,0.8321078374421002,0.31086713501296886,0.3159865908919129,-0.5276422393694036,-0.2814667270064379,-0.12195168599699413,-0.3844976015065488,0.9125749453223732,0.21098134649882505,-0.45650292649041696,-0.49802130796506316
VTA_L,-0.23035085310936593,0.4108768732356614,-0.19910618313721165,0.6639210940506199,-0.40401925002733513,0.016551982939953205,-0.2841969645167226,-0.16546760173460429,0.7714300194849908,1.0,0.017313156710358022,-0.09941559251039873,0.06196777229367483,0.3633077640647976,0.6491622826880246,0.37101275531842565,0.20045436396171926,-0.2611608982704496,-0.2800988852188425,-0.03275245939417098,-0.20871225813214034,0.694257911831675,0.22844973206934233,-0.47652194184663704,-0.3368354768783845
