,ACC_pre_L,Thal_VPL_L,SN_pc_L,Frontal_Sup_Medial_R,Postcentral_L,Lingual_L,Putamen_L,Precuneus_L,Frontal_Sup_2_R,Red_N_L,Thal_PuI_R,Cerebellum_3_R,Thal_IL_R,Vermis_3,Cerebellum_4_5_L
ACC_pre_L,1.0,0.016348695106414766,-0.0411891957790301,0.2118384644380531,0.085430697129819,-0.11787314901576228,-0.20790947835661247,0.05229173654215262,0.10884378401299011,-0.1919635550937007,-0.06221213841330301,-0.06588422895434394,-0.12615878283681495,-0.028884439607934104,-0.038678798415467994
Thal_VPL_L,0.016348695106414766,1.0,-0.021283627152157383,0.34293618611906346,0.4506376055954888,-0.16658071199781985,0.5445936769853948,0.028950321466139975,0.35679892519560463,-0.010013768708908473,0.24772938560211508,0.08942509130582672,0.46149985858787984,0.1618340892645631,0.2890913515155903
SN_pc_L,-0.0411891957790301,-0.021283627152157383,1.0,0.2536762106716549,0.38725553680625174,0.6511869985975633,-0.12418336397747429,0.3637380232460785,0.3918833280689453,0.6019989766018118,0.14869451667899056,0.44890123009843746,0.15557891346845684,0.533074515610536,0.5564034745580934
Frontal_Sup_Medial_R,0.2118384644380531,0.34293618611906346,0.2536762106716549,1.0,0.6088470155275899,0.1490624842566462,-0.046465810548059636,0.37980666104227384,0.5764201861869992,0.30281588329151105,0.14354631992280223,0.4654381304104178,0.30940138489031666,0.22737854982128075,0.40054041456619766
Postcentral_L,0.085430697129819,0.4506376055954888,0.38725553680625174,0.6088470155275899,1.0,0.21186402125701242,0.12484155217922248,0.7052468689679734,0.5300179673851446,0.32013846725501577,0.15555349400241,0.6071884234979427,0.3840155544757178,0.33698413682952183,0.5292350035116131
Lingual_L,-0.11787314901576228,-0.16658071199781985,0.6511869985975633,0.1490624842566462,0.21186402125701242,1.0,0.0424535501007967,0.2821994408322078,0.40916287133769186,0.6822405600664083,-0.07005247125892386,0.5989625043000706,0.04750529827692052,0.45030435329013546,0.766770904107319
Putamen_L,-0.20790947835661247,0.5445936769853948,-0.12418336397747429,-0.046465810548059636,0.12484155217922248,0.0424535501007967,1.0,-0.05803836228047973,0.08281228049861475,0.00014622157902145303,-0.014616526620072727,0.2277815119205515,0.12321177207396433,0.1097940161226425,0.1839442498436849
Precuneus_L,0.05229173654215262,0.028950321466139975,0.3637380232460785,0.37980666104227384,0.7052468689679734,0.2821994408322078,-0.05803836228047973,1.0,0.18361897344521563,0.22456541301672225,0.13860804586242859,0.5575529792805113,0.16597818677607182,0.31787771962763456,0.41935057349824184
Frontal_Sup_2_R,0.10884378401299011,0.35679892519560463,0.3918833280689453,0.5764201861869992,0.5300179673851446,0.40916287133769186,0.08281228049861475,0.18361897344521563,1.0,0.49095868374856916,-0.0031071488986499623,0.4878186909323759,0.16261319217017992,0.3761292050112288,0.5603923009481742
Red_N_L,-0.1919635550937007,-0.010013768708908473,0.6019989766018118,0.30281588329151105,0.32013846725501577,0.6822405600664083,0.00014622157902145303,0.22456541301672225,0.49095868374856916,1.0,-0.08774263269399765,0.4477023507773197,0.1763941042943995,0.32701457786143423,0.5420533886926552
Thal_PuI_R,-0.06221213841330301,0.24772938560211508,0.14869451667899056,0.14354631992280223,0.15555349400241,-0.07005247125892386,-0.014616526620072727,0.13860804586242859,-0.0031071488986499623,-0.08774263269399765,1.0,-0.09867904418843776,0.401474959179246,0.1393986826375574,0.10500868382898462
Cerebellum_3_R,-0.06588422895434394,0.08942509130582672,0.44890123009843746,0.4654381304104178,0.6071884234979427,0.5989625043000706,0.2277815119205515,0.5575529792805113,0.4878186909323759,0.4477023507773197,-0.09867904418843776,1.0,0.14152840439097147,0.5214009518551754,0.6969044583273212
Thal_IL_R,-0.12615878283681495,0.46149985858787984,0.15557891346845684,0.30940138489031666,0.3840155544757178,0.04750529827692052,0.12321177207396433,0.16597818677607182,0.16261319217017992,0.1763941042943995,0.401474959179246,0.14152840439097147,1.0,0.13630925538048572,0.33287034154263223
Vermis_3,-0.028884439607934104,0.1618340892645631,0.533074515610536,0.22737854982128075,0.33698413682952183,0.45030435329013546,0.1097940161226425,0.31787771962763456,0.3761292050112288,0.32701457786143423,0.1393986826375574,0.5214009518551754,0.13630925538048572,1.0,0.5663850630717141
Cerebellum_4_5_L,-0.038678798415467994,0.2890913515155903,0.5564034745580934,0.40054041456619766,0.5292350035116131,0.766770904107319,0.1839442498436849,0.41935057349824184,0.5603923009481742,0.5420533886926552,0.10500868382898462,0.6969044583273212,0.33287034154263223,0.5663850630717141,1.0
