,Cerebellum_7b_L,Temporal_Pole_Sup_L,Lingual_R,Cingulate_Post_L,Cerebellum_4_5_R,LC_L,Cerebellum_Crus1_L,Pallidum_L,Thal_PuL_L,Cerebellum_4_5_L,OFClat_L,Thal_VA_R,SN_pc_R,Angular_R,OFCmed_R
Cerebellum_7b_L,1.0,0.07391962737984094,0.39298010819763,0.04021419122789066,0.19592163081375552,0.25925234098159716,0.4297573780917054,-0.3351541596413757,0.07278535114556349,0.13157769442728462,0.27201047175152276,0.5483596156542231,0.3555216922302263,0.4692417907204805,-0.31073477585127596
Temporal_Pole_Sup_L,0.07391962737984094,1.0,0.3622994452896821,0.4980573119753899,0.417897515507195,0.14877822244608602,0.3674984068340968,0.43441727644642747,0.16472486259456418,0.44970700743794156,0.48259648706371,0.1728814880136462,0.1676420906083303,0.006056549971795711,0.2156520422780073
Lingual_R,0.39298010819763,0.3622994452896821,1.0,0.5164135036317669,0.7650108044307402,0.08212334756977238,0.5063848312283633,0.11559562812742472,0.4075470891678036,0.8292932730098885,0.5004934097883329,0.711535844840191,0.6542453597194123,0.3799589451944912,-0.25389351987567116
Cingulate_Post_L,0.04021419122789066,0.4980573119753899,0.5164135036317669,1.0,0.6494635355646661,0.06774646036601521,0.2606466388286205,0.4908271071098385,0.2847425331077256,0.7124000373744971,0.47740003895793703,0.33916133973118134,0.3365926815588509,0.02792851870126454,0.3118841959442415
Cerebellum_4_5_R,0.19592163081375552,0.417897515507195,0.7650108044307402,0.6494635355646661,1.0,0.09418633942938898,0.45137340188526864,0.48675700346497625,0.44197051073064525,0.9128153413521571,0.47885962333259946,0.49971520204655767,0.5957375519980751,-0.10181334136199988,-0.11764332733864714
LC_L,0.25925234098159716,0.14877822244608602,0.08212334756977238,0.06774646036601521,0.09418633942938898,1.0,0.26520837542100373,-0.11791577434011903,0.06999806178795556,0.09928971524491763,0.2208617178885999,0.29889982715237373,0.13175694431838997,0.07451128675746728,-0.027614918287649403
Cerebellum_Crus1_L,0.4297573780917054,0.3674984068340968,0.5063848312283633,0.2606466388286205,0.45137340188526864,0.26520837542100373,1.0,-0.04721085535629432,0.5132369828805715,0.3964294329462965,0.21913821940037678,0.5513422493326235,0.3095781535755082,0.10300157737569318,-0.2869395660038394
Pallidum_L,-0.3351541596413757,0.43441727644642747,0.11559562812742472,0.4908271071098385,0.48675700346497625,-0.11791577434011903,-0.04721085535629432,1.0,0.12126709716631377,0.4959428123447362,0.23368923595638935,-0.17011548754472455,0.04725805479633921,-0.5303585264284066,0.32624866226935273
Thal_PuL_L,0.07278535114556349,0.16472486259456418,0.4075470891678036,0.2847425331077256,0.44197051073064525,0.06999806178795556,0.5132369828805715,0.12126709716631377,1.0,0.46199265958903474,0.06284436035050892,0.3823098593051933,0.2955461303005887,-0.05475452755228036,-0.15867530716952924
Cerebellum_4_5_L,0.13157769442728462,0.44970700743794156,0.8292932730098885,0.7124000373744971,0.9128153413521571,0.09928971524491763,0.3964294329462965,0.4959428123447362,0.46199265958903474,1.0,0.5198110773309227,0.5333998468326747,0.6059845287934946,0.023180010871253688,-0.030030305115714907
OFClat_L,0.27201047175152276,0.48259648706371,0.5004934097883329,0.47740003895793703,0.47885962333259946,0.2208617178885999,0.21913821940037678,0.23368923595638935,0.06284436035050892,0.5198110773309227,1.0,0.4963267455714885,0.5238060042304654,0.2520392920674358,0.12610906134594452
Thal_VA_R,0.5483596156542231,0.1728814880136462,0.711535844840191,0.33916133973118134,0.49971520204655767,0.29889982715237373,0.5513422493326235,-0.17011548754472455,0.3823098593051933,0.5333998468326747,0.4963267455714885,1.0,0.5520307568563622,0.46992933470873754,-0.20767505879134032
SN_pc_R,0.3555216922302263,0.1676420906083303,0.6542453597194123,0.3365926815588509,0.5957375519980751,0.13175694431838997,0.3095781535755082,0.04725805479633921,0.2955461303005887,0.6059845287934946,0.5238060042304654,0.5520307568563622,1.0,0.23604045886962485,-0.15529241608970076
Angular_R,0.4692417907204805,0.006056549971795711,0.3799589451944912,0.02792851870126454,-0.10181334136199988,0.07451128675746728,0.10300157737569318,-0.5303585264284066,-0.05475452755228036,0.023180010871253688,0.2520392920674358,0.46992933470873754,0.23604045886962485,1.0,-0.17132327323516464
OFCmed_R,-0.31073477585127596,0.2156520422780073,-0.25389351987567116,0.3118841959442415,-0.11764332733864714,-0.027614918287649403,-0.2869395660038394,0.32624866226935273,-0.15867530716952924,-0.030030305115714907,0.12610906134594452,-0.20767505879134032,-0.15529241608970076,-0.17132327323516464,1.0
