,Temporal_Mid_R,Paracentral_Lobule_L,Cuneus_L,Pallidum_L,Frontal_Inf_Orb_2_L,SupraMarginal_L,Caudate_R,OFCmed_R,Temporal_Pole_Sup_R,Thal_LP_R,Putamen_R,Temporal_Pole_Mid_L,ParaHippocampal_L,Angular_L,Frontal_Sup_Medial_L,Rolandic_Oper_R,Amygdala_L,Vermis_1_2,Thal_VL_R,Fusiform_R,Cingulate_Mid_L,Occipital_Sup_L,Occipital_Mid_L,Occipital_Inf_R,Frontal_Mid_2_R
Temporal_Mid_R,1.0,0.37126216985924715,0.4815950043517616,-0.03279268278068633,0.6570019363931218,0.7018495983393879,0.7040753621868541,-0.26340088066075795,0.6602302016181849,0.4580047639915564,0.3611185357666694,-0.21023485887454638,0.5917076209503123,-0.03484236273679629,0.5008900894962564,0.49689094693318187,0.3611691370495511,0.4635020590555249,0.6634250004395504,0.7817155250629728,0.708862823757841,0.18832156236746375,-0.12662498943713274,0.44718329863564726,0.6093645774574868
Paracentral_Lobule_L,0.37126216985924715,1.0,0.8310690005610533,-0.19819800602004797,0.21329111554184138,0.5988587915425857,0.13333950480379106,0.04674732643318086,0.17576061740441787,0.22905595582097565,0.018874664108666644,0.01017816394525442,0.13339163548217745,-0.09044308961014759,0.3872687125622476,0.1833555128339292,0.04152029278506082,0.1610713349749481,0.23561691062231316,0.33772169603671703,0.5819430552385015,0.3537289650123747,0.3209567454923509,-0.13249790401586234,0.2757911524182569
Cuneus_L,0.4815950043517616,0.8310690005610533,1.0,-0.35798066669669654,0.11160860358361183,0.7763956587125881,0.10127403894083137,-0.1092973179674469,0.15632872581774898,0.24443361102590455,-0.16653053454768985,-0.11697251314513506,0.14697917190528262,-0.03868294460278692,0.22716565846320136,0.042067411676785973,-0.0071937075118045524,0.1735257475642208,0.3582461449559563,0.3815872100643324,0.43769682151234135,0.4000338957314788,0.17666362802744698,0.17190135072433635,0.10962565366276246
Pallidum_L,-0.03279268278068633,-0.19819800602004797,-0.35798066669669654,1.0,0.2161527243185507,-0.14051953313158932,0.46117436370831477,0.32624866226935273,0.3465307303013537,0.30506592388666526,0.8015995072877431,0.49626615775494654,0.3928903013145762,-0.032496390773239674,0.49893955694868136,0.5963090200172081,0.13319236252956307,0.4743994976879139,0.13829340835753284,0.3164652400946582,0.29256768264335903,-0.43319766982495006,-0.05277318527577259,-0.3250323893532634,0.5695910071681848
Frontal_Inf_Orb_2_L,0.6570019363931218,0.21329111554184138,0.11160860358361183,0.2161527243185507,1.0,0.3783712268952515,0.6601949704035909,0.0020965099554741237,0.6793210400238641,0.31305252812988515,0.49702052547294195,-0.0421193766163773,0.587675506334059,0.062477432765995114,0.5773913724159819,0.5435982383505511,0.5960632254457419,0.42272813816959576,0.5175392515527213,0.6284627022966071,0.6149291432353641,0.040490827854124285,-0.046761655705746606,0.11869159097225511,0.6601653928263198
SupraMarginal_L,0.7018495983393879,0.5988587915425857,0.7763956587125881,-0.14051953313158932,0.3783712268952515,1.0,0.4308269031551574,-0.2262422065248709,0.38005969594401634,0.31357211316567307,0.12099398105438024,-0.05560475132621694,0.36590933370812745,0.0216762760683033,0.42015207187396714,0.3734624834110475,0.0016151493104485958,0.3926739838133325,0.581049835573395,0.6075491445875968,0.5871549589200095,0.2755616595741134,0.024285915622845,0.35349899211562075,0.41414469192172043
Caudate_R,0.7040753621868541,0.13333950480379106,0.10127403894083137,0.46117436370831477,0.6601949704035909,0.4308269031551574,1.0,-0.19964927222570453,0.7343602235381543,0.523920879814437,0.7774138232865689,-0.019265013792100737,0.786037112819397,0.08963429482416384,0.7860581310820778,0.7923178914795762,0.34381388320511647,0.6336510318980035,0.7281347091579393,0.8149637933729432,0.7718498588778985,-0.0639801057245083,-0.09113115867315941,0.20302997305438214,0.8829333591580903
OFCmed_R,-0.26340088066075795,0.04674732643318086,-0.1092973179674469,0.32624866226935273,0.0020965099554741237,-0.2262422065248709,-0.19964927222570453,1.0,0.22869933743286533,0.20454595685787913,0.148096334526922,0.17156297984899269,0.12350340406274418,-0.1435868759509481,0.0017043795989770275,-0.18813467648026064,0.3260776671257206,0.1509088307773477,-0.228001212051282,-0.11182389357392757,-0.09235544306476032,-0.21371550954185492,0.1234596115247641,-0.36647497956893904,-0.033738117261863675
Temporal_Pole_Sup_R,0.6602302016181849,0.17576061740441787,0.15632872581774898,0.3465307303013537,0.6793210400238641,0.38005969594401634,0.7343602235381543,0.22869933743286533,1.0,0.5950674112919664,0.5967452082954235,-0.10350571434189872,0.7743905405148587,-0.07900260062157198,0.6357666941788765,0.4843386688166435,0.5544846046214351,0.5776194812780953,0.6273005573045022,0.7028089149152269,0.5753087002619689,-0.04255911824084893,0.07026255348631966,0.16058261466594928,0.6678501757664891
Thal_LP_R,0.4580047639915564,0.22905595582097565,0.24443361102590455,0.30506592388666526,0.31305252812988515,0.31357211316567307,0.523920879814437,0.20454595685787913,0.5950674112919664,1.0,0.478396591684251,0.00946820951267947,0.5517831705296218,-0.14215421116803978,0.4926308647460978,0.42872922702504584,0.3575091390419354,0.5394359831577819,0.4822001024465687,0.5863782543969309,0.48447599981801276,-0.05732006649004671,0.07567126068566032,0.043205332948865444,0.5300821962685557
Putamen_R,0.3611185357666694,0.018874664108666644,-0.16653053454768985,0.8015995072877431,0.49702052547294195,0.12099398105438024,0.7774138232865689,0.148096334526922,0.5967452082954235,0.478396591684251,1.0,0.3080203835988495,0.6264472969357826,-0.06801347182164566,0.7144465135377096,0.8106195071091987,0.23850031019686813,0.6359513235966927,0.4542126497008046,0.6470128409127697,0.6383674770693384,-0.27182400066069956,-0.08307227822168332,-0.1232649814921884,0.8453000231341267
Temporal_Pole_Mid_L,-0.21023485887454638,0.01017816394525442,-0.11697251314513506,0.49626615775494654,-0.0421193766163773,-0.05560475132621694,-0.019265013792100737,0.17156297984899269,-0.10350571434189872,0.00946820951267947,0.3080203835988495,1.0,-0.08726864536226987,-0.1609463955704807,0.10637491580194605,0.3280078832898593,-0.2977181814108027,-0.029923415990752236,-0.0899586914899555,-0.0033829225888061276,0.09700440778291186,-0.1332223080246622,0.023717034601882077,-0.2982890980239819,0.19580946771553273
ParaHippocampal_L,0.5917076209503123,0.13339163548217745,0.14697917190528262,0.3928903013145762,0.587675506334059,0.36590933370812745,0.786037112819397,0.12350340406274418,0.7743905405148587,0.5517831705296218,0.6264472969357826,-0.08726864536226987,1.0,0.0001828589897431367,0.6477498256603926,0.5213115846494903,0.42207797825140464,0.662711417731408,0.7044590409733595,0.7849622029268921,0.6450238822910147,-0.12370819227185954,-0.15857661535097992,0.18037824020195026,0.7177332767165467
Angular_L,-0.03484236273679629,-0.09044308961014759,-0.03868294460278692,-0.032496390773239674,0.062477432765995114,0.0216762760683033,0.08963429482416384,-0.1435868759509481,-0.07900260062157198,-0.14215421116803978,-0.06801347182164566,-0.1609463955704807,0.0001828589897431367,1.0,0.022217216147184003,-0.06913905740502779,0.07145082370628389,-0.09244998200907406,0.0351800100099701,-0.04698008703015956,-0.023890558205154698,0.006434752744318193,-0.09518766017346318,0.14162276592908024,-0.020429255293464624
Frontal_Sup_Medial_L,0.5008900894962564,0.3872687125622476,0.22716565846320136,0.49893955694868136,0.5773913724159819,0.42015207187396714,0.7860581310820778,0.0017043795989770275,0.6357666941788765,0.4926308647460978,0.7144465135377096,0.10637491580194605,0.6477498256603926,0.022217216147184003,1.0,0.7577508535719131,0.30175112119047465,0.601411951181714,0.5795015572909966,0.7195497397524984,0.8369910824310731,-0.03912022423531269,0.07998387706479337,-0.09837207475009774,0.8793576463499664
Rolandic_Oper_R,0.49689094693318187,0.1833555128339292,0.042067411676785973,0.5963090200172081,0.5435982383505511,0.3734624834110475,0.7923178914795762,-0.18813467648026064,0.4843386688166435,0.42872922702504584,0.8106195071091987,0.3280078832898593,0.5213115846494903,-0.06913905740502779,0.7577508535719131,1.0,0.07444877401913583,0.5378988640327313,0.5254140745358037,0.6714139870824795,0.7566237161517464,-0.12409105305994535,-0.06413357140380814,-0.024011361459122797,0.866629602280431
Amygdala_L,0.3611691370495511,0.04152029278506082,-0.0071937075118045524,0.13319236252956307,0.5960632254457419,0.0016151493104485958,0.34381388320511647,0.3260776671257206,0.5544846046214351,0.3575091390419354,0.23850031019686813,-0.2977181814108027,0.42207797825140464,0.07145082370628389,0.30175112119047465,0.07444877401913583,1.0,0.3326663529061972,0.22273782822001884,0.29011867867213115,0.21802645816191846,0.014738126200102114,0.0442119681187846,0.03066300456331747,0.27648880229808637
Vermis_1_2,0.4635020590555249,0.1610713349749481,0.1735257475642208,0.4743994976879139,0.42272813816959576,0.3926739838133325,0.6336510318980035,0.1509088307773477,0.5776194812780953,0.5394359831577819,0.6359513235966927,-0.029923415990752236,0.662711417731408,-0.09244998200907406,0.601411951181714,0.5378988640327313,0.3326663529061972,1.0,0.48355729939570946,0.7364767476480045,0.5667908300243352,-0.19024237194670318,-0.0492725126818298,0.07358804506424176,0.6166800134283715
Thal_VL_R,0.6634250004395504,0.23561691062231316,0.3582461449559563,0.13829340835753284,0.5175392515527213,0.581049835573395,0.7281347091579393,-0.228001212051282,0.6273005573045022,0.4822001024465687,0.4542126497008046,-0.0899586914899555,0.7044590409733595,0.0351800100099701,0.5795015572909966,0.5254140745358037,0.22273782822001884,0.48355729939570946,1.0,0.768919348943143,0.6327257341641136,0.12475750007121349,-0.03006595688874192,0.4264256732865137,0.5946085719850394
Fusiform_R,0.7817155250629728,0.33772169603671703,0.3815872100643324,0.3164652400946582,0.6284627022966071,0.6075491445875968,0.8149637933729432,-0.11182389357392757,0.7028089149152269,0.5863782543969309,0.6470128409127697,-0.0033829225888061276,0.7849622029268921,-0.04698008703015956,0.7195497397524984,0.6714139870824795,0.29011867867213115,0.7364767476480045,0.768919348943143,1.0,0.8291228920902719,0.04723113491301937,-0.12984180520892202,0.3158447255840067,0.790866871205267
Cingulate_Mid_L,0.708862823757841,0.5819430552385015,0.43769682151234135,0.29256768264335903,0.6149291432353641,0.5871549589200095,0.7718498588778985,-0.09235544306476032,0.5753087002619689,0.48447599981801276,0.6383674770693384,0.09700440778291186,0.6450238822910147,-0.023890558205154698,0.8369910824310731,0.7566237161517464,0.21802645816191846,0.5667908300243352,0.6327257341641136,0.8291228920902719,1.0,0.13353884118304574,-0.013139507441463645,0.06744142776269514,0.8468918414478757
Occipital_Sup_L,0.18832156236746375,0.3537289650123747,0.4000338957314788,-0.43319766982495006,0.040490827854124285,0.2755616595741134,-0.0639801057245083,-0.21371550954185492,-0.04255911824084893,-0.05732006649004671,-0.27182400066069956,-0.1332223080246622,-0.12370819227185954,0.006434752744318193,-0.03912022423531269,-0.12409105305994535,0.014738126200102114,-0.19024237194670318,0.12475750007121349,0.04723113491301937,0.13353884118304574,1.0,0.09165530287020705,0.15022094795906807,-0.09897207777274328
