,Vermis_8,Frontal_Sup_2_L,Thal_VA_R,Cerebellum_Crus2_R,Heschl_L,OFCmed_R,Temporal_Pole_Sup_R,Temporal_Inf_L,Frontal_Inf_Tri_L,Rectus_R
Vermis_8,1.0,0.14628582383327532,0.08913002339206696,0.070190010135902,0.3086608986689586,-0.3381852958919397,0.024861246374602318,0.27064627178624817,0.3264607950977309,-0.2500915018919789
Frontal_Sup_2_L,0.14628582383327532,1.0,0.37369273097369765,0.3253616234741278,0.7563313430370724,0.05639162055989905,0.7119371685722148,0.707013633825669,0.87479471712163,0.6163495816661327
Thal_VA_R,0.08913002339206696,0.37369273097369765,1.0,0.5874332173356963,0.2699426897464361,-0.20767505879134032,0.5105866629547916,0.5519982603919694,0.480073299057354,0.3195495535821479
Cerebellum_Crus2_R,0.070190010135902,0.3253616234741278,0.5874332173356963,1.0,0.4173124795177717,-0.17973435010974004,0.4046896384050318,0.5286686143918209,0.3153010984347689,0.2556381950146689
Heschl_L,0.3086608986689586,0.7563313430370724,0.2699426897464361,0.4173124795177717,1.0,-0.17665227696480765,0.48596055330236254,0.7451803126761206,0.7356106532826878,0.36303222365550714
OFCmed_R,-0.3381852958919397,0.05639162055989905,-0.20767505879134032,-0.17973435010974004,-0.17665227696480765,1.0,0.22869933743286533,-0.05593588516245636,-0.18345370678934403,0.3990807916188242
Temporal_Pole_Sup_R,0.024861246374602318,0.7119371685722148,0.5105866629547916,0.4046896384050318,0.48596055330236254,0.22869933743286533,1.0,0.5022003002480694,0.6662716250533159,0.718114414973911
Temporal_Inf_L,0.27064627178624817,0.707013633825669,0.5519982603919694,0.5286686143918209,0.7451803126761206,-0.05593588516245636,0.5022003002480694,1.0,0.7098424115429673,0.4121195662507608
Frontal_Inf_Tri_L,0.3264607950977309,0.87479471712163,0.480073299057354,0.3153010984347689,0.7356106532826878,-0.18345370678934403,0.6662716250533159,0.7098424115429673,1.0,0.5231595444176158
Rectus_R,-0.2500915018919789,0.6163495816661327,0.3195495535821479,0.2556381950146689,0.36303222365550714,0.3990807916188242,0.718114414973911,0.4121195662507608,0.5231595444176158,1.0
