,ACC_sub_L,Thal_PuA_R,Cingulate_Post_L,N_Acc_R,Insula_R,Vermis_8,Lingual_L,SupraMarginal_R,Temporal_Pole_Sup_L,LC_L,Thal_MDm_R,Cingulate_Post_R,Precentral_R,VTA_R,Temporal_Sup_L,Supp_Motor_Area_L,Thal_LGN_L,Lingual_R,Red_N_L,Vermis_4_5,Frontal_Inf_Oper_L,Frontal_Mid_2_L,OFCpost_L,Cingulate_Mid_R,ACC_sub_R,Cerebellum_8_R,ACC_sup_R,Thal_AV_L,Raphe_D,Temporal_Pole_Mid_R
ACC_sub_L,1.0,-0.36975607095562174,0.17739804411379992,0.4174157394211613,0.0946249809340888,-0.39741189844289543,-0.4413223615243026,-0.21821546237939424,-0.1657758415205046,0.47916700354835645,-0.1736344918168742,-0.011938336787980031,-0.1837841562119134,0.10217677326436797,0.20354221121917548,-0.1255448430251959,0.31983374307468393,-0.47810784564731373,-0.4240021281554971,0.2001905814378317,0.11867299697864346,0.01612347485041274,0.37021133100014286,0.3646010917342226,0.7379680632581569,-0.49619267690558216,-0.12386483376448286,0.354377130311492,0.32665056440972634,-0.39023683181866053
Thal_PuA_R,-0.36975607095562174,1.0,-0.3408836059349905,-0.5068234921108368,0.06084456649329743,0.3443948461595915,0.8063188978185053,0.5552968247558467,0.7115076273426753,-0.792831188790737,0.8512960448960606,-0.17773590743320836,0.24547688158580092,0.22586804333750216,0.3488829598124676,-0.4011299804534329,-0.7698150989098865,0.7973712207421848,0.8152575685026263,-0.49880472697517886,0.3771679544615687,-0.6177256274000761,-0.36586685879798303,-0.32773959051552604,-0.5514200978058172,0.6020440239290532,-0.3933669604348952,-0.15711697337724972,-0.8235261680792612,0.4413406232498967
Cingulate_Post_L,0.17739804411379992,-0.3408836059349905,1.0,0.1784192054186359,0.1924467303866655,0.2370309476177951,1.0478339997459994e-05,-0.3116100193007324,-0.03831534259816765,0.38178729224239444,-0.10564253236354751,0.6604326956703056,-0.18975643056787295,0.05482470096019264,0.32167538665091194,0.30529593728700877,0.37284676335668343,-0.06540156246094289,-0.1814440054386201,0.5585655069025017,0.18839387520335193,0.45001105341680364,0.11258705272484719,0.49317748088075886,0.2819547809001714,-0.01869203269838318,0.03391141639894986,0.17721360649181994,0.2669721310732906,0.05268808856087511
N_Acc_R,0.4174157394211613,-0.5068234921108368,0.1784192054186359,1.0,0.03675417962750289,-0.31840456221778135,-0.5037322384737954,-0.09977287742538214,-0.2732204333043562,0.4703105767559915,-0.46189216190946136,0.11304915500942486,0.04688920369222641,-0.295891308689414,0.0015303610027630227,-0.07212119946618642,0.28155614293294173,-0.49156881522091617,-0.33509713322493734,0.36529480267253217,-0.17348298411489974,0.05126040592401341,0.41423111389737566,0.39472615862418287,0.5659458591932702,-0.4492308304969857,-0.05134086624519086,0.22280638112216825,0.48702812674537926,-0.35259892198043524
Insula_R,0.0946249809340888,0.06084456649329743,0.1924467303866655,0.03675417962750289,1.0,0.2138477513178474,0.20267561728220726,0.052988022638480854,0.14207142729207708,0.0826843585854659,0.2021069942499395,0.06717775144275338,-0.008641447654759521,0.005332695514817146,0.44771724368841664,0.1038398409190297,0.05982129192166731,0.19240496325627665,0.07386196762016156,0.16481415294353893,0.3619449461671148,0.13596239012463152,0.12900451449753678,0.01796383220988046,0.1806918610687531,0.12796647058093846,0.12672660994826485,0.16657811540674447,-0.022625916943836373,0.059702378100688167
Vermis_8,-0.39741189844289543,0.3443948461595915,0.2370309476177951,-0.31840456221778135,0.2138477513178474,1.0,0.7203647321381396,-0.062137216337933364,0.49500545182577904,-0.3143719468430465,0.45002786088930274,0.315618714852805,-0.18537692735889977,0.22149494375811424,0.25262150269050976,0.3522664869110355,-0.20343259265941518,0.7320508595272838,0.5625152948086332,0.11054502172419169,0.10681483400726698,0.2789875559388628,-0.5035695878800234,-0.17453720145291193,-0.2747049026394553,0.8739082451537509,0.11725619951294779,-0.08455867618937074,-0.5044770915207575,0.7644097303069859
Lingual_L,-0.4413223615243026,0.8063188978185053,1.0478339997459994e-05,-0.5037322384737954,0.20267561728220726,0.7203647321381396,1.0,0.3026739847931719,0.7831532120832844,-0.6747857412731263,0.797464699402523,0.21791192113103844,0.05868471075204767,0.25575291632440494,0.43443888878843046,0.02485189515600248,-0.5914308758828678,0.9714135036397273,0.8439197722423901,-0.15506544960481242,0.32571532229112216,-0.1552162664138141,-0.4808846119398426,-0.21379426264798967,-0.5395096554428163,0.8662937644748492,-0.18066664829549337,-0.0830819876238411,-0.7806725440765614,0.7348688658440918
SupraMarginal_R,-0.21821546237939424,0.5552968247558467,-0.3116100193007324,-0.09977287742538214,0.052988022638480854,-0.062137216337933364,0.3026739847931719,1.0,0.23029149672990748,-0.5017409779336641,0.32154145093764985,-0.13791552185898615,0.7853073079538274,0.2092854173706973,0.00338962327352128,-0.4374233748492146,-0.4319326328704209,0.3175947564314315,0.48450569367989293,-0.2623267227498106,0.1358700371380292,-0.5711112212830388,-0.09331327020843018,-0.06580226781639932,-0.2280676791763214,0.07843712451073737,-0.235843721214357,-0.1795207339842177,-0.36540824545379136,-0.053560377220400524
Temporal_Pole_Sup_L,-0.1657758415205046,0.7115076273426753,-0.03831534259816765,-0.2732204333043562,0.14207142729207708,0.49500545182577904,0.7831532120832844,0.23029149672990748,1.0,-0.5018571573477753,0.7770574769063674,0.0838587213832302,-0.1455451610419977,-0.00426420879684976,0.5678573883268181,-0.1940580492970945,-0.6515796537047581,0.7689776148371812,0.7291677674679268,-0.18917762640193353,0.33645271144156136,-0.31275650286669426,-0.20269225215025807,-0.057184742822018575,-0.35909625004017953,0.6749512577484285,-0.5190113295270729,0.06689989295434665,-0.7227488369234532,0.6655780536517948
LC_L,0.47916700354835645,-0.792831188790737,0.38178729224239444,0.4703105767559915,0.0826843585854659,-0.3143719468430465,-0.6747857412731263,-0.5017409779336641,-0.5018571573477753,1.0,-0.5385255114363904,0.19179065343485632,-0.27266901122168696,-0.15378123488545217,-0.08061471521933584,0.2009279773927514,0.6869198145618851,-0.6785385478807034,-0.7251118570559517,0.4979094852555393,-0.21268956068814615,0.40926905042934514,0.38631935562662406,0.32295235460966815,0.5379644044885709,-0.5598217698844419,0.25833733487342425,0.34021043523725913,0.6442415174746344,-0.42845142521497354
