,Rectus_R,Fusiform_R,Insula_R,Temporal_Sup_R,Cerebellum_6_L,OFClat_L,Cingulate_Mid_R,ACC_sub_R,Vermis_3,Frontal_Inf_Tri_L,Cuneus_L,Calcarine_R,Caudate_R,Temporal_Inf_R,Cerebellum_Crus2_R
Rectus_R,1.0,0.0671608841942494,0.04416137558143726,-0.46014406075167147,-0.6081786067312321,0.48941197273360315,0.1396006409195716,0.4078180469281947,0.5474812680129875,0.22978840080278573,-0.3311254162860963,-0.5789624325387754,0.35962879185312063,-0.6604998517108843,-0.7479646005510707
Fusiform_R,0.0671608841942494,1.0,0.31286627921417165,0.15650447461518308,-0.08839990200770914,0.34332906149045445,0.19262982411338178,0.2312084982164695,0.32901331505514525,0.21879550868759176,-0.2663296741450973,-0.024956011224136893,0.19760280104088396,0.18970436647552485,0.025485783091361326
Insula_R,0.04416137558143726,0.31286627921417165,1.0,0.2577003550435184,0.19363617510900855,0.07755185001665817,0.01796383220988046,0.1806918610687531,0.03395703890305916,0.1584433011770212,0.05582956861593261,0.14170914665057716,0.13512951884711163,0.10939325750988728,0.131425789258283
Temporal_Sup_R,-0.46014406075167147,0.15650447461518308,0.2577003550435184,1.0,0.6568185263514814,-0.5504911160268083,-0.0915699185246858,-0.3730752315610642,-0.5808697307517814,-0.5522921535700618,0.5344312308325074,0.7161008641188685,-0.04884467179935638,0.7877416833284409,0.6702620410381522
Cerebellum_6_L,-0.6081786067312321,-0.08839990200770914,0.19363617510900855,0.6568185263514814,1.0,-0.6329695175253264,-0.18840707726772382,-0.5218409283305856,-0.6233011317225555,-0.42921495380348923,0.6757446916426866,0.8834988133419344,-0.2730521360755422,0.7850683572831618,0.8221498325256199
OFClat_L,0.48941197273360315,0.34332906149045445,0.07755185001665817,-0.5504911160268083,-0.6329695175253264,1.0,0.2590383393035634,0.5335810805288191,0.7634954074083726,0.6584447301850809,-0.5964595211641888,-0.6524740088431454,0.3457624451573009,-0.6264490139525504,-0.5950249000865272
Cingulate_Mid_R,0.1396006409195716,0.19262982411338178,0.01796383220988046,-0.0915699185246858,-0.18840707726772382,0.2590383393035634,1.0,0.44267455547258144,0.33403470421349246,0.28999237910732517,-0.1898226439936247,-0.19103920785268372,0.44417397127382763,-0.20067222282361008,-0.18918920076852214
ACC_sub_R,0.4078180469281947,0.2312084982164695,0.1806918610687531,-0.3730752315610642,-0.5218409283305856,0.5335810805288191,0.44267455547258144,1.0,0.542429437006812,0.5872960885047652,-0.4621194220603308,-0.5139305463428306,0.5753721629332035,-0.4530952301725994,-0.4521782273045718
Vermis_3,0.5474812680129875,0.32901331505514525,0.03395703890305916,-0.5808697307517814,-0.6233011317225555,0.7634954074083726,0.33403470421349246,0.542429437006812,1.0,0.6758811862983084,-0.7223059363029627,-0.7095130645033674,0.29658203351219303,-0.5917889678924878,-0.575389485554325
Frontal_Inf_Tri_L,0.22978840080278573,0.21879550868759176,0.1584433011770212,-0.5522921535700618,-0.42921495380348923,0.6584447301850809,0.28999237910732517,0.5872960885047652,0.6758811862983084,1.0,-0.6375162073305979,-0.5733324210351509,0.19614311394347533,-0.4328347680903976,-0.32386034388896756
Cuneus_L,-0.3311254162860963,-0.2663296741450973,0.05582956861593261,0.5344312308325074,0.6757446916426866,-0.5964595211641888,-0.1898226439936247,-0.4621194220603308,-0.7223059363029627,-0.6375162073305979,1.0,0.8229829397486549,-0.0899764264498411,0.4086403428841955,0.46674113311915877
Calcarine_R,-0.5789624325387754,-0.024956011224136893,0.14170914665057716,0.7161008641188685,0.8834988133419344,-0.6524740088431454,-0.19103920785268372,-0.5139305463428306,-0.7095130645033674,-0.5733324210351509,0.8229829397486549,1.0,-0.23163474463778824,0.7353952543259578,0.749562883256245
Caudate_R,0.35962879185312063,0.19760280104088396,0.13512951884711163,-0.04884467179935638,-0.2730521360755422,0.3457624451573009,0.44417397127382763,0.5753721629332035,0.29658203351219303,0.19614311394347533,-0.0899764264498411,-0.23163474463778824,1.0,-0.24662476710029696,-0.32159886896283724
Temporal_Inf_R,-0.6604998517108843,0.18970436647552485,0.10939325750988728,0.7877416833284409,0.7850683572831618,-0.6264490139525504,-0.20067222282361008,-0.4530952301725994,-0.5917889678924878,-0.4328347680903976,0.4086403428841955,0.7353952543259578,-0.24662476710029696,1.0,0.8648061924551443
Cerebellum_Crus2_R,-0.7479646005510707,0.025485783091361326,0.131425789258283,0.6702620410381522,0.8221498325256199,-0.5950249000865272,-0.18918920076852214,-0.4521782273045718,-0.575389485554325,-0.32386034388896756,0.46674113311915877,0.749562883256245,-0.32159886896283724,0.8648061924551443,1.0
