,Thal_MGN_R,Supp_Motor_Area_L,Thal_LP_L,Thal_MDl_L,Vermis_3,Thal_MDm_R,SN_pr_L,Frontal_Inf_Oper_L,Caudate_L,Fusiform_L,Parietal_Sup_L,Frontal_Inf_Orb_2_R,Frontal_Sup_2_R,Cingulate_Post_L,Cerebellum_3_R,Frontal_Sup_Medial_L,Paracentral_Lobule_R,Occipital_Mid_R,Thal_PuL_R,Angular_L,Thal_LP_R,Temporal_Pole_Mid_R,ParaHippocampal_R,Hippocampus_R,ACC_sup_R
Thal_MGN_R,1.0,-0.09890732851821293,-0.1647529046168158,0.13331587787730034,-0.027756896861479464,-0.1349534342666826,0.05196721705899654,-0.07651938106187262,-0.04887128511045469,-0.3415598312581419,-0.051364633994848294,0.07665120931736628,-0.10780162853717964,0.1250254051792333,-0.1463667703517017,-0.15369068632105576,-0.0410601344414069,-0.12549356713526055,-0.3075557632864232,-0.2211201122029972,-0.04216820677167786,-0.2099618789304224,0.3038321934966092,0.18104493111983833,-0.014147850642356434
Supp_Motor_Area_L,-0.09890732851821293,1.0,0.5855186951964506,0.34185702751959907,0.18512129585351306,0.48519930647102083,0.6325092802369767,0.8764721867323833,0.5913296780632177,0.4031301632044334,0.2310510229737622,0.3688342562629508,0.6980224474672913,0.6345840621744474,0.5139768116100127,0.7894248927178414,0.7495526651612272,-0.15866086197946455,0.63894149828675,0.30836328871057234,0.566418066265051,0.2667089777221543,0.46571071266023795,0.33300623130794943,0.70042524894573
Thal_LP_L,-0.1647529046168158,0.5855186951964506,1.0,0.07445529027501208,-0.10482727575379262,0.6305931066619739,0.48208606667431164,0.6675763470909997,0.6644322327353337,0.09581785883095334,-0.2962611165603486,0.585094776754274,0.40922465097631916,0.34865733596926884,0.604552780731525,0.4779029531671751,0.34407581529284237,-0.5618782490408972,0.47750688786867923,-0.2693154113223018,0.6256006331183249,0.19211895029506476,0.601682519722909,0.5833696593326988,0.30017207808593166
Thal_MDl_L,0.13331587787730034,0.34185702751959907,0.07445529027501208,1.0,-0.04302004514349885,0.021456939562170905,0.43727874825763224,0.3424339377407458,0.22344032300295852,0.0355343013443714,0.14572079750161882,0.27720903002722463,0.32110628180285417,0.13847390035616378,0.27412581245341816,0.391754766899958,0.2595540888341797,-0.17257626671683232,0.15843514341583095,0.17581942156853625,0.22681811280371275,-0.02411537700903593,0.33979892588694577,0.18004496028838582,0.14593600821552777
Vermis_3,-0.027756896861479464,0.18512129585351306,-0.10482727575379262,-0.04302004514349885,1.0,-0.0246447479354593,-0.009099142350095932,0.07671756198695384,-0.1940609369300246,0.2886217848631507,0.10470547824404147,-0.27939740643443384,0.0218625497919232,0.08509138805935745,-0.06040929037730583,-0.006616029531440708,0.14452228988469454,0.6101676949338345,0.21395993384295933,0.2309167758373271,0.21728838125103783,0.313761391015389,-0.13473566280543411,-0.011884034749210277,0.2792523045784846
Thal_MDm_R,-0.1349534342666826,0.48519930647102083,0.6305931066619739,0.021456939562170905,-0.0246447479354593,1.0,0.4502314104583448,0.5676265460772697,0.6133903973830169,0.017323319875659212,-0.0793412480332903,0.39692959318170706,0.31839131141278215,0.1393491221012481,0.4374952292696947,0.33391337172504276,0.3424366645987844,-0.40076166275510444,0.37084476709756176,-0.09687346646282856,0.3126925623097729,0.1694312986297462,0.46871538008979163,0.3055348944860584,0.17410618653057308
SN_pr_L,0.05196721705899654,0.6325092802369767,0.48208606667431164,0.43727874825763224,-0.009099142350095932,0.4502314104583448,1.0,0.6143607928568063,0.5322838948281113,0.05161543408611192,0.05113556601841055,0.41926095622895215,0.4640292972010528,0.3504747604935013,0.48257959052002775,0.5175917279015084,0.4250395597719763,-0.37460345081191254,0.3726144559995397,0.015488795093178909,0.43439570697723934,0.048045378854801785,0.5913940465273055,0.3746408506901429,0.3167883617326265
Frontal_Inf_Oper_L,-0.07651938106187262,0.8764721867323833,0.6675763470909997,0.3424339377407458,0.07671756198695384,0.5676265460772697,0.6143607928568063,1.0,0.703571737413077,0.3624800056767211,0.1232286042428515,0.41282499809143125,0.5720160645483019,0.5464403946519362,0.6333340925618499,0.6779750524061068,0.7300255177535689,-0.35561137728656733,0.6673234998607246,0.19223236813781555,0.6199541921709177,0.19407820212004076,0.5291187035015497,0.4429422106685941,0.46024765886971825
Caudate_L,-0.04887128511045469,0.5913296780632177,0.6644322327353337,0.22344032300295852,-0.1940609369300246,0.6133903973830169,0.5322838948281113,0.703571737413077,1.0,0.06432840099486616,0.010874788218792602,0.4567519766016813,0.3668349084231599,0.2936168824256828,0.44902097915002337,0.45449237732690856,0.45964201834414603,-0.5024115590232382,0.42825546062470976,-0.04890628924046395,0.4224423615694604,0.0019107885834518449,0.5524225842146034,0.43636619494555695,0.17189724635039869
Fusiform_L,-0.3415598312581419,0.4031301632044334,0.09581785883095334,0.0355343013443714,0.2886217848631507,0.017323319875659212,0.05161543408611192,0.3624800056767211,0.06432840099486616,1.0,0.4038873772310217,-0.22145950251390928,0.23310277661009612,0.48613258085842376,0.3138762322805328,0.3263565141065526,0.5484658454913138,0.3398447988548317,0.24299750039898974,0.6198645570996282,0.20402443606508147,0.2902881285541373,-0.26503777358377945,-0.14613844704803977,0.3003706846749998
Parietal_Sup_L,-0.051364633994848294,0.2310510229737622,-0.2962611165603486,0.14572079750161882,0.10470547824404147,-0.0793412480332903,0.05113556601841055,0.1232286042428515,0.010874788218792602,0.4038873772310217,1.0,-0.14222182834396407,0.36791285425194115,0.284344005391803,-0.0856039894032783,0.3847810015705898,0.6063082995355203,0.4713400221079885,0.12489143246896496,0.7932510757399497,-0.09338965465241628,0.09274064618320303,-0.1649457840550659,-0.17412331328335207,0.36913437706235624
Frontal_Inf_Orb_2_R,0.07665120931736628,0.3688342562629508,0.585094776754274,0.27720903002722463,-0.27939740643443384,0.39692959318170706,0.41926095622895215,0.41282499809143125,0.4567519766016813,-0.22145950251390928,-0.14222182834396407,1.0,0.5283910199305285,0.03412941437542193,0.46414936705487886,0.5156880110360738,0.18954715011906442,-0.6517473408679678,0.24295181203133082,-0.27404968672122787,0.4700406485895076,0.15272948641825398,0.6198022083142488,0.5324130812065722,0.24837667061774746
Frontal_Sup_2_R,-0.10780162853717964,0.6980224474672913,0.40922465097631916,0.32110628180285417,0.0218625497919232,0.31839131141278215,0.4640292972010528,0.5720160645483019,0.3668349084231599,0.23310277661009612,0.36791285425194115,0.5283910199305285,1.0,0.3367635062507178,0.3557683834751417,0.8613518446605541,0.5473458180928299,-0.15653454758233257,0.43895067810952193,0.26126952080333915,0.4239757932221619,0.25339715229775533,0.4098712360386501,0.2460036796007369,0.7647797469624331
Cingulate_Post_L,0.1250254051792333,0.6345840621744474,0.34865733596926884,0.13847390035616378,0.08509138805935745,0.1393491221012481,0.3504747604935013,0.5464403946519362,0.2936168824256828,0.48613258085842376,0.284344005391803,0.03412941437542193,0.3367635062507178,1.0,0.4064356611297024,0.4046070656047814,0.6998576397964917,-0.03233794256868497,0.34533695315771346,0.3558312153977261,0.33404631971453097,0.05132837224221937,0.2956176669088569,0.27806283246548913,0.5096566317280753
