,Thal_AV_R,Parietal_Inf_L,Thal_PuA_L,Postcentral_L,Thal_MDm_R,Cerebellum_6_L,Postcentral_R,Thal_PuL_R,Putamen_R,Vermis_1_2
Thal_AV_R,1.0,0.6158151579969567,0.5575549513495096,0.5555505148660241,0.5093404554734247,0.3463312158104841,0.10339180704344601,0.3705226853079598,0.7375018222845391,0.5444482538511635
Parietal_Inf_L,0.6158151579969567,1.0,0.5775283671959158,0.9223393122416502,0.44299830474915114,0.11141279694146927,0.4953074196254154,0.23367476090811146,0.7000587897642863,0.44592974974984567
Thal_PuA_L,0.5575549513495096,0.5775283671959158,1.0,0.5122177073216013,0.4870492910090243,0.5149951625127404,0.14472735229848807,0.31050219708381466,0.6524683423933223,0.4649926455218354
Postcentral_L,0.5555505148660241,0.9223393122416502,0.5122177073216013,1.0,0.38549826272386756,-0.10006346567500263,0.5265140960913653,0.37721300148372167,0.6950094899886369,0.3173277702417799
Thal_MDm_R,0.5093404554734247,0.44299830474915114,0.4870492910090243,0.38549826272386756,1.0,0.3600122255116098,0.1715950456790195,0.30731849780158543,0.6265206052389369,0.569852766380117
Cerebellum_6_L,0.3463312158104841,0.11141279694146927,0.5149951625127404,-0.10006346567500263,0.3600122255116098,1.0,-0.17743068502722553,-0.09748771810594348,0.3824428347392153,0.49820134249103776
Postcentral_R,0.10339180704344601,0.4953074196254154,0.14472735229848807,0.5265140960913653,0.1715950456790195,-0.17743068502722553,1.0,0.2725685303597182,0.20767849608047179,0.3619492196172964
Thal_PuL_R,0.3705226853079598,0.23367476090811146,0.31050219708381466,0.37721300148372167,0.30731849780158543,-0.09748771810594348,0.2725685303597182,1.0,0.4661758458256367,0.27049795565162427
Putamen_R,0.7375018222845391,0.7000587897642863,0.6524683423933223,0.6950094899886369,0.6265206052389369,0.3824428347392153,0.20767849608047179,0.4661758458256367,1.0,0.5648524083437174
Vermis_1_2,0.5444482538511635,0.44592974974984567,0.4649926455218354,0.3173277702417799,0.569852766380117,0.49820134249103776,0.3619492196172964,0.27049795565162427,0.5648524083437174,1.0
