,Parietal_Sup_R,Thal_PuL_R,Frontal_Inf_Oper_L,LC_L,Cerebellum_Crus2_R,Precuneus_L,Rectus_L,Hippocampus_R,Insula_R,Vermis_9,Thal_AV_L,Cerebellum_8_R,Frontal_Inf_Tri_L,Thal_Re_R,Olfactory_L,Precentral_L,Raphe_M,Occipital_Mid_R,ParaHippocampal_L,Vermis_7,OFCmed_R,SN_pr_R,Cingulate_Mid_R,ACC_sub_R,Thal_IL_R
Parietal_Sup_R,1.0,-0.10606895377536957,0.022450313365351807,0.5596441105738618,0.38943260899916843,0.8174811303846069,-0.36770518707245764,-0.1373202632041302,-0.24256418082465048,0.5170059714117659,0.2571408752875615,0.067210513021066,0.1010686234056064,-0.16854271167102913,-0.0633325167797529,0.20908524888239843,0.3439996188333474,0.4912470648448081,-0.20804767169443955,0.0505201057292499,-0.4212553468207154,-0.14315737775891363,0.06531874481536872,-0.03761949833543246,0.16829273767769617
Thal_PuL_R,-0.10606895377536957,1.0,0.13636094337885724,-0.21652212003691176,-0.125841621955313,-0.08817969546104268,0.24870630946988181,0.4802612412569128,0.23100738158919382,-0.06518517829830155,0.15374691057776857,0.32329776311411895,-0.0875774007982048,0.23085058891599305,0.38664912592086675,0.28906283903053037,0.10959588704383008,-0.36548419883612193,0.5615404374505192,0.07703794101997233,0.24696392366744682,0.31651385842286817,0.3186654325196176,-0.1951868539365026,0.4385022098666269
Frontal_Inf_Oper_L,0.022450313365351807,0.13636094337885724,1.0,0.2085573350835059,-0.1332318486636027,0.13944623315492718,-0.03361204699878835,0.43990293051317086,0.36247725465561803,0.07268236311591057,0.3934484000148386,-0.00044863077834097077,0.8371262618104145,0.11883973221655313,0.2136774547327677,0.752412620198489,0.0979189782442288,-0.051999854305613616,0.3664033812457725,-0.16680587431257501,-0.05734249398291447,0.12440746648348586,0.2473800050164459,-0.3336982836084837,0.43020342684747026
LC_L,0.5596441105738618,-0.21652212003691176,0.2085573350835059,1.0,0.23660143396320693,0.7052720501714509,-0.48665973809596424,-0.2248212998284613,-0.25603998227489755,0.6157356333079351,0.4774996511490302,-0.10044622073328555,0.3118913280888029,-0.06969940979522858,-0.04385126739821648,0.2936357447329412,0.4777528499374374,0.44967363092951457,-0.3238593960079696,-0.3436636503124919,-0.37399502751461033,-0.30889229194374795,0.09288132536435591,-0.05535634823508609,0.1951959399821331
Cerebellum_Crus2_R,0.38943260899916843,-0.125841621955313,-0.1332318486636027,0.23660143396320693,1.0,0.5896409198308245,0.01500727114475507,-0.050807435065145186,0.11307905858918317,0.483973234819847,-0.03507109358372589,0.37895761819124096,-0.034305097131476114,-0.25944443588898297,-0.20093971967193128,-0.025738961127826362,0.11207817108417492,0.5306619761306745,-0.10482568081079918,0.04945730026630218,-0.1297552493159096,-0.08037126404098771,-0.1396174651365742,0.18708290763766278,0.012178226512967533
Precuneus_L,0.8174811303846069,-0.08817969546104268,0.13944623315492718,0.7052720501714509,0.5896409198308245,1.0,-0.3119238103093796,-0.04158370936184736,-0.1011942388602817,0.7034373231286902,0.2866735107747164,0.22576605026158394,0.23363200800627795,-0.25867752189905047,-0.08939526838519371,0.3158031067671458,0.36926930863810614,0.5814167432278544,-0.1582173979516785,-0.022479482995533515,-0.3387156572198784,-0.11329844311880903,0.08159447822590711,0.04870625635848687,0.23107561426813003
Rectus_L,-0.36770518707245764,0.24870630946988181,-0.03361204699878835,-0.48665973809596424,0.01500727114475507,-0.3119238103093796,1.0,0.42249029077610606,0.48826188061036585,-0.06251987561652174,-0.38326587786007793,0.49616588983546456,-0.1214578504342151,-0.11378293732207338,-0.20100887960095243,-0.19177715588755875,-0.20349329609167685,-0.33571592816718154,0.4251309627746907,0.08662179942914919,0.5278561216308422,0.3597912110240523,-0.07414964435897824,0.19237998328243386,-0.08722723043926287
Hippocampus_R,-0.1373202632041302,0.4802612412569128,0.43990293051317086,-0.2248212998284613,-0.050807435065145186,-0.04158370936184736,0.42249029077610606,1.0,0.514696028152022,0.10905559936492393,0.0957501982690859,0.5429384175654357,0.20128665806565454,0.1425031710494033,0.22262716676924782,0.4497582674412894,0.15384328117364734,-0.4468632030781986,0.8698675372103992,-0.041619095048909545,0.28513088939421655,0.32077964167472,0.26991060363791297,0.0338356892060483,0.3384005704956157
Insula_R,-0.24256418082465048,0.23100738158919382,0.36247725465561803,-0.25603998227489755,0.11307905858918317,-0.1011942388602817,0.48826188061036585,0.514696028152022,1.0,-0.014660233118871598,0.01912329881332662,0.35281814871756184,0.34711734753830287,-0.016419085517757802,-0.01415120054678368,0.11909500552195652,0.07104203534060315,-0.2583959905742603,0.5219767384131132,-0.015126886622862545,0.40576500050823666,0.2101231097995295,0.26923730711449295,0.06450586769985209,0.17399239203138725
Vermis_9,0.5170059714117659,-0.06518517829830155,0.07268236311591057,0.6157356333079351,0.483973234819847,0.7034373231286902,-0.06251987561652174,0.10905559936492393,-0.014660233118871598,1.0,0.16588218686457032,0.48257175761647375,0.14652930198970274,-0.2604479136022551,-0.24503416637779826,0.16655200391438704,0.3040993482152982,0.3141771482840688,-0.0671056162176414,-0.22527015044891563,-0.2304869986979026,-0.07303118389541786,-0.14138246234174884,0.18729966194084188,0.030358992651078238
Thal_AV_L,0.2571408752875615,0.15374691057776857,0.3934484000148386,0.4774996511490302,-0.03507109358372589,0.2866735107747164,-0.38326587786007793,0.0957501982690859,0.01912329881332662,0.16588218686457032,1.0,-0.13721461913104188,0.24993607827058026,0.465806934401363,0.33663142533295065,0.47487225901847835,0.5979293396686375,0.0726256839210314,0.21800982655844045,-0.213286665919247,0.0041795012725828855,-0.14522791947712124,0.4668405661725224,-0.2635663173360354,0.5633547352199657
Cerebellum_8_R,0.067210513021066,0.32329776311411895,-0.00044863077834097077,-0.10044622073328555,0.37895761819124096,0.22576605026158394,0.49616588983546456,0.5429384175654357,0.35281814871756184,0.48257175761647375,-0.13721461913104188,1.0,-0.04565993907268923,-0.190388413757773,-0.16407222586571346,0.055731343067935535,0.042009738065626856,-0.21421437427054935,0.44299742843941586,-0.010855497840489774,0.19860593012603817,0.2802681228872847,-0.03231518634827628,0.14451420330141623,-0.008203133464000447
Frontal_Inf_Tri_L,0.1010686234056064,-0.0875774007982048,0.8371262618104145,0.3118913280888029,-0.034305097131476114,0.23363200800627795,-0.1214578504342151,0.20128665806565454,0.34711734753830287,0.14652930198970274,0.24993607827058026,-0.04565993907268923,1.0,-0.10459012545484297,0.05867919692691391,0.5336654051914229,0.023970353540663177,0.06977909065268706,0.1245827739211284,-0.1418220276484381,-0.12984085318175365,0.03068263877137905,0.18412705354010056,-0.16286512922980906,0.2133571934882592
Thal_Re_R,-0.16854271167102913,0.23085058891599305,0.11883973221655313,-0.06969940979522858,-0.25944443588898297,-0.25867752189905047,-0.11378293732207338,0.1425031710494033,-0.016419085517757802,-0.2604479136022551,0.465806934401363,-0.190388413757773,-0.10459012545484297,1.0,0.5181799138300393,0.16868173312212062,0.4127083189775459,-0.23983124373321726,0.31999712624495724,-0.14968352340324978,0.20299729200094663,0.03717855500676913,0.30600405441663475,-0.20220222852089084,0.4727585973228177
Olfactory_L,-0.0633325167797529,0.38664912592086675,0.2136774547327677,-0.04385126739821648,-0.20093971967193128,-0.08939526838519371,-0.20100887960095243,0.22262716676924782,-0.01415120054678368,-0.24503416637779826,0.33663142533295065,-0.16407222586571346,0.05867919692691391,0.5181799138300393,1.0,0.4043216487478313,0.19343085715571814,-0.15808842976985665,0.3781976187431173,0.072181824442264,0.02523808748862088,0.10711452728637648,0.36055533810041135,-0.1692530936362538,0.5592020480283497
Precentral_L,0.20908524888239843,0.28906283903053037,0.752412620198489,0.2936357447329412,-0.025738961127826362,0.3158031067671458,-0.19177715588755875,0.4497582674412894,0.11909500552195652,0.16655200391438704,0.47487225901847835,0.055731343067935535,0.5336654051914229,0.16868173312212062,0.4043216487478313,1.0,0.19097366725059078,0.032374589383463534,0.381538631339046,-0.11875124609243214,-0.06809031129459735,0.11059910506036415,0.30840261765980886,-0.32013256046633964,0.5778632554348635
Raphe_M,0.3439996188333474,0.10959588704383008,0.0979189782442288,0.4777528499374374,0.11207817108417492,0.36926930863810614,-0.20349329609167685,0.15384328117364734,0.07104203534060315,0.3040993482152982,0.5979293396686375,0.042009738065626856,0.023970353540663177,0.4127083189775459,0.19343085715571814,0.19097366725059078,1.0,0.03387452662900866,0.2562681163864439,-0.33618028535559996,-0.027057374918764282,-0.04279996591245941,0.45037238270571794,-0.032261226915048694,0.48797937764348803
Occipital_Mid_R,0.4912470648448081,-0.36548419883612193,-0.051999854305613616,0.44967363092951457,0.5306619761306745,0.5814167432278544,-0.33571592816718154,-0.4468632030781986,-0.2583959905742603,0.3141771482840688,0.0726256839210314,-0.21421437427054935,0.06977909065268706,-0.23983124373321726,-0.15808842976985665,0.032374589383463534,0.03387452662900866,1.0,-0.4803273893387945,0.10394685356469986,-0.338374223036841,-0.24229642223661957,-0.2076691138690117,0.00806688392386944,-0.055897015367601985
ParaHippocampal_L,-0.20804767169443955,0.5615404374505192,0.3664033812457725,-0.3238593960079696,-0.10482568081079918,-0.1582173979516785,0.4251309627746907,0.8698675372103992,0.5219767384131132,-0.0671056162176414,0.21800982655844045,0.44299742843941586,0.1245827739211284,0.31999712624495724,0.3781976187431173,0.381538631339046,0.2562681163864439,-0.4803273893387945,1.0,0.01055178921668234,0.3983757134407067,0.3293585510583865,0.4148895761678469,-0.0002255203352866137,0.4605279059483226
Vermis_7,0.0505201057292499,0.07703794101997233,-0.16680587431257501,-0.3436636503124919,0.04945730026630218,-0.022479482995533515,0.08662179942914919,-0.041619095048909545,-0.015126886622862545,-0.22527015044891563,-0.213286665919247,-0.010855497840489774,-0.1418220276484381,-0.14968352340324978,0.072181824442264,-0.11875124609243214,-0.33618028535559996,0.10394685356469986,0.01055178921668234,1.0,-0.03382923126955207,0.08404286895014264,-0.01881365522123091,-0.05648831786793783,-0.058998228314073184
OFCmed_R,-0.4212553468207154,0.24696392366744682,-0.05734249398291447,-0.37399502751461033,-0.1297552493159096,-0.3387156572198784,0.5278561216308422,0.28513088939421655,0.40576500050823666,-0.2304869986979026,0.0041795012725828855,0.19860593012603817,-0.12984085318175365,0.20299729200094663,0.02523808748862088,-0.06809031129459735,-0.027057374918764282,-0.338374223036841,0.3983757134407067,-0.03382923126955207,1.0,0.09800015446640815,0.13993033886493378,0.12376204251544644,0.09488473183327625
SN_pr_R,-0.14315737775891363,0.31651385842286817,0.12440746648348586,-0.30889229194374795,-0.08037126404098771,-0.11329844311880903,0.3597912110240523,0.32077964167472,0.2101231097995295,-0.07303118389541786,-0.14522791947712124,0.2802681228872847,0.03068263877137905,0.03717855500676913,0.10711452728637648,0.11059910506036415,-0.04279996591245941,-0.24229642223661957,0.3293585510583865,0.08404286895014264,0.09800015446640815,1.0,0.08328522094533385,-0.0944997743504642,0.24839840308858097
Cingulate_Mid_R,0.06531874481536872,0.3186654325196176,0.2473800050164459,0.09288132536435591,-0.1396174651365742,0.08159447822590711,-0.07414964435897824,0.26991060363791297,0.26923730711449295,-0.14138246234174884,0.4668405661725224,-0.03231518634827628,0.18412705354010056,0.30600405441663475,0.36055533810041135,0.30840261765980886,0.45037238270571794,-0.2076691138690117,0.4148895761678469,-0.01881365522123091,0.13993033886493378,0.08328522094533385,1.0,-0.10684986497472014,0.4211370253834425
ACC_sub_R,-0.03761949833543246,-0.1951868539365026,-0.3336982836084837,-0.05535634823508609,0.18708290763766278,0.04870625635848687,0.19237998328243386,0.0338356892060483,0.06450586769985209,0.18729966194084188,-0.2635663173360354,0.14451420330141623,-0.16286512922980906,-0.20220222852089084,-0.1692530936362538,-0.32013256046633964,-0.032261226915048694,0.00806688392386944,-0.0002255203352866137,-0.05648831786793783,0.12376204251544644,-0.0944997743504642,-0.10684986497472014,1.0,-0.3298011248979705
Thal_IL_R,0.16829273767769617,0.4385022098666269,0.43020342684747026,0.1951959399821331,0.012178226512967533,0.23107561426813003,-0.08722723043926287,0.3384005704956157,0.17399239203138725,0.030358992651078238,0.5633547352199657,-0.008203133464000447,0.2133571934882592,0.4727585973228177,0.5592020480283497,0.5778632554348635,0.48797937764348803,-0.055897015367601985,0.4605279059483226,-0.058998228314073184,0.09488473183327625,0.24839840308858097,0.4211370253834425,-0.3298011248979705,1.0
