,Cerebellum_8_R,Fusiform_R,Frontal_Mid_2_R,Precentral_R,Vermis_3,Thal_MGN_L,Insula_L,OFCant_R,Temporal_Inf_L,Vermis_10,Thal_MDl_R,ACC_pre_L,Occipital_Mid_R,Cerebellum_Crus2_R,Insula_R
Cerebellum_8_R,1.0,0.3286043928778814,-0.14809617823011942,0.2449794215957116,0.42081968401826503,-0.12670672426988874,-0.16639605145481146,-0.5074144622109057,0.4519444190397997,0.2856853110796555,0.08112282714346167,-0.47221195938885696,0.5222116829258284,0.337491423852796,0.12184299092031423
Fusiform_R,0.3286043928778814,1.0,0.38020885647170755,0.5669945649280049,0.5546254422060509,0.18955274962232416,0.4180520451600564,-0.14633371848756918,0.2946084806420934,0.3647407816194567,0.33496377186385473,-0.10868844638678543,0.5742857143087378,0.35418144792694933,0.4743407789776346
Frontal_Mid_2_R,-0.14809617823011942,0.38020885647170755,1.0,0.6816877381138672,0.15292035277338462,0.12123897028031591,0.4826329780671972,0.3658573385306573,0.073180374436232,0.2668168894362025,0.2770185289887738,0.3311890677249893,-0.008994822732897301,-0.10178943820552835,0.3735598690917708
Precentral_R,0.2449794215957116,0.5669945649280049,0.6816877381138672,1.0,0.38475202371505995,-0.0639500218802288,0.20353336721690804,0.15343714804001177,0.339904513322898,0.5153557105378365,0.2796800788117021,-0.13595175345221186,0.316872529791102,0.08752762407032616,0.196987350861445
Vermis_3,0.42081968401826503,0.5546254422060509,0.15292035277338462,0.38475202371505995,1.0,-0.006349267024183974,0.05676760252008654,-0.20124186346873046,0.47850820495891405,0.3667923058066476,0.35468088774935363,-0.32313562783407557,0.5426124421925704,0.2732939420634078,0.34984931523861945
Thal_MGN_L,-0.12670672426988874,0.18955274962232416,0.12123897028031591,-0.0639500218802288,-0.006349267024183974,1.0,0.5429023663052379,-0.08698265290643428,-0.4282691906629196,-0.3629362208198929,0.23378705676663278,0.25069302179948005,0.14616111234705415,0.2246454720808302,0.41157173168480005
Insula_L,-0.16639605145481146,0.4180520451600564,0.4826329780671972,0.20353336721690804,0.05676760252008654,0.5429023663052379,1.0,0.054664113219277506,-0.41973120682636583,-0.20426000956204776,0.35315523849316705,0.49721720395471086,0.17323331764587088,0.19499264217540302,0.800440772282632
OFCant_R,-0.5074144622109057,-0.14633371848756918,0.3658573385306573,0.15343714804001177,-0.20124186346873046,-0.08698265290643428,0.054664113219277506,1.0,-0.03707277229283536,0.21723724661541635,0.09332739829240445,0.3975775754360461,-0.5784529261197259,-0.307560404091985,-0.1569678662454239
Temporal_Inf_L,0.4519444190397997,0.2946084806420934,0.073180374436232,0.339904513322898,0.47850820495891405,-0.4282691906629196,-0.41973120682636583,-0.03707277229283536,1.0,0.6452800392862683,-0.03851153107547734,-0.4049000927202737,0.15512273962935236,-0.007884699247240369,-0.1433399890369085
Vermis_10,0.2856853110796555,0.3647407816194567,0.2668168894362025,0.5153557105378365,0.3667923058066476,-0.3629362208198929,-0.20426000956204776,0.21723724661541635,0.6452800392862683,1.0,0.15541983279651087,-0.3170132522586222,0.20006642626321955,-0.023001888880397114,-0.027394100911934602
Thal_MDl_R,0.08112282714346167,0.33496377186385473,0.2770185289887738,0.2796800788117021,0.35468088774935363,0.23378705676663278,0.35315523849316705,0.09332739829240445,-0.03851153107547734,0.15541983279651087,1.0,0.19007788902365794,0.27782773057546006,0.31630211202779346,0.4106962783671752
ACC_pre_L,-0.47221195938885696,-0.10868844638678543,0.3311890677249893,-0.13595175345221186,-0.32313562783407557,0.25069302179948005,0.49721720395471086,0.3975775754360461,-0.4049000927202737,-0.3170132522586222,0.19007788902365794,1.0,-0.5347904552106153,-0.035488539309057064,0.32344671624086996
Occipital_Mid_R,0.5222116829258284,0.5742857143087378,-0.008994822732897301,0.316872529791102,0.5426124421925704,0.14616111234705415,0.17323331764587088,-0.5784529261197259,0.15512273962935236,0.20006642626321955,0.27782773057546006,-0.5347904552106153,1.0,0.424358932504612,0.3492869794207214
Cerebellum_Crus2_R,0.337491423852796,0.35418144792694933,-0.10178943820552835,0.08752762407032616,0.2732939420634078,0.2246454720808302,0.19499264217540302,-0.307560404091985,-0.007884699247240369,-0.023001888880397114,0.31630211202779346,-0.035488539309057064,0.424358932504612,1.0,0.31537372411605197
Insula_R,0.12184299092031423,0.4743407789776346,0.3735598690917708,0.196987350861445,0.34984931523861945,0.41157173168480005,0.800440772282632,-0.1569678662454239,-0.1433399890369085,-0.027394100911934602,0.4106962783671752,0.32344671624086996,0.3492869794207214,0.31537372411605197,1.0
