,Thal_MDl_R,Fusiform_L,Vermis_1_2,Cerebellum_4_5_R,Red_N_R,Frontal_Inf_Oper_L,Thal_PuL_L,Thal_LGN_L,Vermis_4_5,Lingual_L
Thal_MDl_R,1.0,0.42812267431121964,0.5148636409616952,0.6354221922629341,0.4276408797780997,0.6001740908011424,0.008857166713165249,0.21384651014344352,0.44004889912420564,0.4519689994611898
Fusiform_L,0.42812267431121964,1.0,0.7181050101745374,0.8465724214052569,0.4736004310625483,0.3651862558548847,-0.05215980602771018,0.3185878698544203,0.754103127693142,0.4561047958783565
Vermis_1_2,0.5148636409616952,0.7181050101745374,1.0,0.7400573747521259,0.5059787046322947,0.4931023681777806,0.011624862731114979,0.2785505254776714,0.6646496582679315,0.4212756646305761
Cerebellum_4_5_R,0.6354221922629341,0.8465724214052569,0.7400573747521259,1.0,0.503966798530362,0.6560079887091033,0.08708812732169233,0.3343072757811713,0.826638731465091,0.5635306092147127
Red_N_R,0.4276408797780997,0.4736004310625483,0.5059787046322947,0.503966798530362,1.0,0.21320034211832858,0.13016398688439015,0.29345115283613993,0.3110255270829572,0.1505502590188572
Frontal_Inf_Oper_L,0.6001740908011424,0.3651862558548847,0.4931023681777806,0.6560079887091033,0.21320034211832858,1.0,0.0769460170525587,0.3921911724072967,0.6373286285243548,0.6262812158813552
Thal_PuL_L,0.008857166713165249,-0.05215980602771018,0.011624862731114979,0.08708812732169233,0.13016398688439015,0.0769460170525587,1.0,0.07694850741390963,-0.09282952894215954,-0.006512192937994264
Thal_LGN_L,0.21384651014344352,0.3185878698544203,0.2785505254776714,0.3343072757811713,0.29345115283613993,0.3921911724072967,0.07694850741390963,1.0,0.29030247612283927,0.32209319231027467
Vermis_4_5,0.44004889912420564,0.754103127693142,0.6646496582679315,0.826638731465091,0.3110255270829572,0.6373286285243548,-0.09282952894215954,0.29030247612283927,1.0,0.6751562930009636
Lingual_L,0.4519689994611898,0.4561047958783565,0.4212756646305761,0.5635306092147127,0.1505502590188572,0.6262812158813552,-0.006512192937994264,0.32209319231027467,0.6751562930009636,1.0
