,Thal_MDl_R,Caudate_L,Red_N_L,Cerebellum_9_L,Parietal_Inf_L,Cuneus_R,ParaHippocampal_L,Lingual_R,Thal_IL_L,Thal_VPL_L,Vermis_7,Cerebellum_3_R,Frontal_Inf_Oper_L,Thal_MDl_L,Thal_LGN_L
Thal_MDl_R,1.0,0.5667567065832719,0.6604340696541299,0.4696711903208296,0.33153516397530813,0.20125652235692254,0.5211015216526741,0.4969786003040521,0.20761112366007017,0.6678128334101836,-0.16157478584617507,0.5867645846021406,0.6001740908011424,0.6542196696735004,0.21384651014344352
Caudate_L,0.5667567065832719,1.0,0.5829660775254316,0.44549509038525015,0.34618157228001917,0.10727077235756838,0.7434069957633197,0.4329897560313738,0.166881350349401,0.6193583394744104,-0.2432374592018204,0.42394061688545526,0.4640510531125121,0.6180371969642532,0.46537705215274494
Red_N_L,0.6604340696541299,0.5829660775254316,1.0,0.4877803987220744,0.32589027549792154,0.14739748933958002,0.6108674630793897,0.5240075666898484,0.18589304343518756,0.56842268592085,-0.09172701727893491,0.6128034259025535,0.3960354789196008,0.7093187253297644,0.20886515247256615
Cerebellum_9_L,0.4696711903208296,0.44549509038525015,0.4877803987220744,1.0,0.4783003524322564,0.1783861529311876,0.4806323727017618,0.6344955519607883,0.18962125862693655,0.42547386384423524,-0.1698416830272543,0.5476367567284319,0.5212337396252208,0.5144138178911722,0.0779415893483531
Parietal_Inf_L,0.33153516397530813,0.34618157228001917,0.32589027549792154,0.4783003524322564,1.0,0.3194452198437639,0.4102309755731229,0.5297497390464587,0.2588941612938448,0.38797249267676176,-0.019687388627703452,0.5566192595900782,0.5940696346261253,0.5079636098007103,0.34932138670466595
Cuneus_R,0.20125652235692254,0.10727077235756838,0.14739748933958002,0.1783861529311876,0.3194452198437639,1.0,0.21529437505646498,0.4899884596931453,0.10289763180504213,0.18320009255974784,0.0038036436186629163,0.30255128874116977,0.2946536651122809,0.1818055400226677,0.05899064921341638
ParaHippocampal_L,0.5211015216526741,0.7434069957633197,0.6108674630793897,0.4806323727017618,0.4102309755731229,0.21529437505646498,1.0,0.4918417841942612,0.3777025594487268,0.6480048260169593,-0.2888451354127148,0.47770439509249385,0.3300981953557727,0.7040415614557196,0.308076881461558
Lingual_R,0.4969786003040521,0.4329897560313738,0.5240075666898484,0.6344955519607883,0.5297497390464587,0.4899884596931453,0.4918417841942612,1.0,0.18034527042361567,0.6973691611031292,-0.11463710261096127,0.4645437010404264,0.6821685609352821,0.6443841482581546,0.27433086686785507
Thal_IL_L,0.20761112366007017,0.166881350349401,0.18589304343518756,0.18962125862693655,0.2588941612938448,0.10289763180504213,0.3777025594487268,0.18034527042361567,1.0,0.2426787852655945,-0.1068631391141446,0.3642401884067491,0.14912901356801667,0.25970403571509887,-0.007018115983193889
Thal_VPL_L,0.6678128334101836,0.6193583394744104,0.56842268592085,0.42547386384423524,0.38797249267676176,0.18320009255974784,0.6480048260169593,0.6973691611031292,0.2426787852655945,1.0,-0.10325488859265472,0.4454301057183963,0.6144724361789515,0.8139219644957925,0.48987901698025066
Vermis_7,-0.16157478584617507,-0.2432374592018204,-0.09172701727893491,-0.1698416830272543,-0.019687388627703452,0.0038036436186629163,-0.2888451354127148,-0.11463710261096127,-0.1068631391141446,-0.10325488859265472,1.0,-0.06405762203589337,-0.0556514585859402,-0.03964465613957552,0.12612724513201465
Cerebellum_3_R,0.5867645846021406,0.42394061688545526,0.6128034259025535,0.5476367567284319,0.5566192595900782,0.30255128874116977,0.47770439509249385,0.4645437010404264,0.3642401884067491,0.4454301057183963,-0.06405762203589337,1.0,0.49553837537136,0.5490333886863864,0.12397052626887277
Frontal_Inf_Oper_L,0.6001740908011424,0.4640510531125121,0.3960354789196008,0.5212337396252208,0.5940696346261253,0.2946536651122809,0.3300981953557727,0.6821685609352821,0.14912901356801667,0.6144724361789515,-0.0556514585859402,0.49553837537136,1.0,0.5643439746327051,0.3921911724072967
Thal_MDl_L,0.6542196696735004,0.6180371969642532,0.7093187253297644,0.5144138178911722,0.5079636098007103,0.1818055400226677,0.7040415614557196,0.6443841482581546,0.25970403571509887,0.8139219644957925,-0.03964465613957552,0.5490333886863864,0.5643439746327051,1.0,0.43989797890000853
Thal_LGN_L,0.21384651014344352,0.46537705215274494,0.20886515247256615,0.0779415893483531,0.34932138670466595,0.05899064921341638,0.308076881461558,0.27433086686785507,-0.007018115983193889,0.48987901698025066,0.12612724513201465,0.12397052626887277,0.3921911724072967,0.43989797890000853,1.0
