,Parietal_Inf_R,Rolandic_Oper_R,Thal_MDm_R,Paracentral_Lobule_R,Thal_VPL_L,Cerebellum_10_R,Cerebellum_Crus2_R,Frontal_Med_Orb_L,Red_N_R,Vermis_7,SN_pc_R,Angular_L,LC_L,Supp_Motor_Area_R,Thal_PuL_R,Thal_LP_L,Thal_PuM_R,OFClat_R,Frontal_Inf_Tri_L,Thal_VA_L,Caudate_L,Olfactory_R,ACC_sub_R,Frontal_Mid_2_R,Amygdala_L
Parietal_Inf_R,1.0,-0.2313432854987879,-0.21669792533037,0.6580761638886155,0.45295554770827284,-0.4495546551670078,0.2100290184116347,0.07470685120176275,-0.1191978841113181,0.014881003154875585,-0.13625443648495827,0.3495592403415708,-0.1488928720932629,0.45979485046079205,0.31572372679632205,0.2863214601141734,0.2627901161308458,-0.4353721026864112,-0.30758390089177334,0.1030252071504807,-0.19385542522697183,0.022710259317253,-0.2210983345247645,0.01815791395880408,-0.004614921995263725
Rolandic_Oper_R,-0.2313432854987879,1.0,0.0761138161832822,0.06968706038512851,-0.4980942361060325,0.469592746695666,0.03765849301189603,0.6381839233432279,0.14786260443685903,0.5278463939686932,0.5826986369782734,-0.6955040164551154,-0.2686737003973687,0.005912619221885204,0.34333090810147865,-0.0882087230596549,0.08198297046769575,0.39882831541753916,-0.3685265384131316,-0.047723220378232276,0.5618254081827235,-0.31378632427760533,0.05035122795649696,0.4194259141190899,-0.317135005281755
Thal_MDm_R,-0.21669792533037,0.0761138161832822,1.0,-0.04385496841875213,0.2565626755796909,0.14352617662298875,-0.08288865253997718,-0.07246691119467286,0.21959620112746164,-0.12741301566682126,0.1039170555045948,0.06348032965182134,0.10870813103255093,-0.06867619507405737,0.045445784354022245,0.030720951142175677,0.3215359526419887,0.01573936111936305,0.28987726054994223,0.3694784394145955,0.3431340907441961,0.1119318226532807,-0.06814914421035605,0.04759147624477852,0.028658074204819257
Paracentral_Lobule_R,0.6580761638886155,0.06968706038512851,-0.04385496841875213,1.0,0.20277249835103764,-0.12765408117798088,0.035929568215982484,0.10933246739144649,0.1701966118932075,0.24265961334203315,0.17513398326579496,0.08921097391834851,-0.03585082667027585,0.7290110766026475,0.2983314358712421,0.08568635491445646,0.21897516462379474,-0.24511272427795724,-0.04424430479544984,0.12480083487245895,0.0739563229834274,-0.007359482404358267,-0.048251041859871356,0.40680972657237907,-0.1654474130199124
Thal_VPL_L,0.45295554770827284,-0.4980942361060325,0.2565626755796909,0.20277249835103764,1.0,-0.5841193846477947,0.1471915314655478,-0.3443701921228026,-0.07486572679356374,-0.3896793846330856,-0.39819236465741165,0.6125010687261194,0.12797396098753075,0.16717362103307126,0.17936941822949393,0.3793523889278135,0.5783599252224655,-0.4232835546089291,0.2488743627929193,0.41807402869105686,-0.1250663311810105,0.21769598485091546,-0.1741189432461486,-0.1688755962159997,0.2809061879230777
Cerebellum_10_R,-0.4495546551670078,0.469592746695666,0.14352617662298875,-0.12765408117798088,-0.5841193846477947,1.0,-0.14779898399014774,0.24037304415010935,0.30365717027038824,0.2535914710148493,0.5570858523427206,-0.3667974335209607,0.03372723496869725,-0.11458380828682245,-0.033400867315210456,-0.24081771663732013,-0.027802092461657876,0.5257382409658201,0.1272755574223915,-0.04751752262246459,0.46341337996181947,-0.39364748979241526,0.029057915750362876,0.31538472657325123,-0.14234221017188092
Cerebellum_Crus2_R,0.2100290184116347,0.03765849301189603,-0.08288865253997718,0.035929568215982484,0.1471915314655478,-0.14779898399014774,1.0,0.40089862135251064,-0.3615115312144429,0.030508562778994826,-0.26899557877139535,0.12959048662628322,-0.001011824337418762,-0.3179145247029299,0.11852704435009692,-0.18805816276937673,0.00913828142402727,-0.167605303189646,-0.3298592940184422,-0.21071416106940158,-0.20224754839371198,0.08323487767816368,0.06940925780526348,-0.31670778344327805,0.16804418956784
Frontal_Med_Orb_L,0.07470685120176275,0.6381839233432279,-0.07246691119467286,0.10933246739144649,-0.3443701921228026,0.24037304415010935,0.40089862135251064,1.0,-0.0676058012465012,0.6068783476752381,0.3657556520908818,-0.5185353980746388,-0.3883878332598828,-0.16468022690687215,0.4077891194907249,0.003921848571899814,-0.08926220125827616,0.08242254427439835,-0.6752376902400506,-0.255313393033562,0.3131216046879613,-0.27093865945135537,0.09818608336552812,0.15970358042697824,-0.32688272969782284
Red_N_R,-0.1191978841113181,0.14786260443685903,0.21959620112746164,0.1701966118932075,-0.07486572679356374,0.30365717027038824,-0.3615115312144429,-0.0676058012465012,1.0,-0.01637997062998247,0.5419040914276241,-0.13722858933912674,0.10867370456455701,0.2089874140008225,-0.03941406045825042,-0.02931261208323865,0.023973253302043855,0.10661965648266536,0.22413989071320534,0.2371520484946401,0.3355000795047538,-0.08516723398570802,-0.12197540916441962,0.32262476637259535,-0.27189621074476494
Vermis_7,0.014881003154875585,0.5278463939686932,-0.12741301566682126,0.24265961334203315,-0.3896793846330856,0.2535914710148493,0.030508562778994826,0.6068783476752381,-0.01637997062998247,1.0,0.4405985502242597,-0.6356139198738936,-0.4567530795291878,0.06940842096055803,0.5136198799796764,0.2668386125371397,-0.14211391015502506,0.06718691915102039,-0.4505748948236964,-0.2130819011153339,0.39295974042125503,-0.31624984254164035,0.050317444870860255,0.4515951877008194,-0.3851883670866285
