,ACC_pre_L,Temporal_Inf_R,Occipital_Mid_R,Thal_VL_R,Thal_PuM_L,Temporal_Pole_Mid_L,Cerebellum_7b_L,Pallidum_L,Cerebellum_9_R,Thal_MDl_L,Parietal_Sup_L,Thal_VA_L,Hippocampus_L,Putamen_R,Cingulate_Post_L,Paracentral_Lobule_L,Raphe_D,Temporal_Sup_L,VTA_L,LC_L,Cerebellum_10_R,Thal_VPL_R,Cingulate_Post_R,Frontal_Sup_2_R,OFCant_R
ACC_pre_L,1.0,-0.3747956063861576,0.5226249813008109,-0.6777662598680196,-0.39270929680956157,-0.3871572910216863,-0.42470749000824526,-0.20075378032234822,-0.40018676956354476,-0.5272964463322655,0.3828975285361169,-0.6089342851921012,-0.11145770308042496,-0.29117859824115333,-0.2966671047994549,0.5086348680252164,-0.20052999326666177,-0.06598069092259205,-0.08192018014305844,-0.18482309907968092,-0.3033022060574,-0.4676968244760167,-0.3696710609424615,0.11853191123038945,-0.29208325091229764
Temporal_Inf_R,-0.3747956063861576,1.0,0.16964166967327227,0.8902429599539914,0.1336307679543391,0.2926852264931982,0.30158327851360256,0.9763193721582186,0.2171205901549105,0.8935886446968374,-0.9952847052303643,0.9039793186307975,0.1532855844918401,0.9651982576213411,0.22368156734886305,-0.9346944625366329,0.8796349077210148,-0.1446732854806098,0.9367426488562259,0.11853855044896484,0.9684941283287336,0.9625812426029549,0.25564298656428036,-0.3404064610372447,0.9790960096678867
Occipital_Mid_R,0.5226249813008109,0.16964166967327227,1.0,-0.1630509060063603,-0.9057764822348222,-0.816172977994484,-0.8137927725178136,0.2240036397432663,-0.8695863523001193,0.07894944477808631,-0.20241420736194515,-0.19629498721391755,-0.7551930447368014,0.39906473805361387,-0.8223784990409875,-0.2547631009861362,0.5770488448346004,-0.847680259369588,0.27518144319082427,-0.8120272465897784,0.3853520135256661,0.24701302565513616,-0.8386149327006363,0.5737757269366085,0.3460149247850654
Thal_VL_R,-0.6777662598680196,0.8902429599539914,-0.1630509060063603,1.0,0.35353672052468554,0.4291193164386183,0.5163185382092821,0.7885710906250285,0.42967959677544865,0.9569559433892558,-0.8893548777013728,0.9889557198322304,0.25160336174153025,0.7996828378112432,0.3759369157441584,-0.8459007007325665,0.6866374071482297,0.020402299523722633,0.7023779072698342,0.2592795006872684,0.8125894903443066,0.9093490360728885,0.43533558172579967,-0.2924513570587951,0.8065698836664691
Thal_PuM_L,-0.39270929680956157,0.1336307679543391,-0.9057764822348222,0.35353672052468554,1.0,0.9721485613884038,0.9566461917538552,0.1309044618482275,0.9940599716261267,0.12593470662031334,-0.08831043788698217,0.4302375572293846,0.9475493876372241,-0.12666552689473315,0.98472520272665,0.06147377400933654,-0.34694652329782755,0.9301555686676604,0.09894308536733384,0.968711040378737,-0.11356645818018565,-0.018866483965090677,0.9891492472864272,-0.8171650956051926,-0.055872284017605196
Temporal_Pole_Mid_L,-0.3871572910216863,0.2926852264931982,-0.816172977994484,0.4291193164386183,0.9721485613884038,1.0,0.9405492109479469,0.31095716234453846,0.9742354345976324,0.19620945546986873,-0.24324932188948997,0.5147460837386257,0.9503145062356654,0.04147257133599872,0.9862331226187914,-0.09521984866328279,-0.1876728463522224,0.8755971069889413,0.2879309563388517,0.9553069593745785,0.050816486378789175,0.11124210675201515,0.9856758514380373,-0.9122348026383834,0.12081097586525212
Cerebellum_7b_L,-0.42470749000824526,0.30158327851360256,-0.8137927725178136,0.5163185382092821,0.9566461917538552,0.9405492109479469,1.0,0.27967653195165804,0.9792667564090183,0.3329794885202054,-0.26210433583965226,0.5933389239191568,0.904565496819555,0.045641225054303014,0.9544680319737332,-0.10574636622464194,-0.16307293934457412,0.8430032543774738,0.25107047281649103,0.9114166513582717,0.061107424046845056,0.16831402939167256,0.966526527029189,-0.7566729025373669,0.10983568360810836
Pallidum_L,-0.20075378032234822,0.9763193721582186,0.2240036397432663,0.7885710906250285,0.1309044618482275,0.31095716234453846,0.27967653195165804,1.0,0.21066616078693085,0.7936581274577066,-0.9645467545126944,0.826160118732777,0.21503109574169926,0.9409320171274701,0.24910609571501294,-0.8694398686101578,0.8504083840445998,-0.09278140375962346,0.9837751915019763,0.1628536261091849,0.9405958220055753,0.8925218012376721,0.26325519356309574,-0.43331464221594435,0.9651285147908504
Cerebellum_9_R,-0.40018676956354476,0.2171205901549105,-0.8695863523001193,0.42967959677544865,0.9940599716261267,0.9742354345976324,0.9792667564090183,0.21066616078693085,1.0,0.21682931529698382,-0.1721477556303336,0.508184525744681,0.9481171414680826,-0.04415166130678786,0.9881163855998584,-0.011303839229018148,-0.26537358681459927,0.9065578808709774,0.17846653975638316,0.9636627227234911,-0.030056454004344087,0.06670887925552758,0.9953619598352663,-0.8162862095708313,0.02519350007243683
Thal_MDl_L,-0.5272964463322655,0.8935886446968374,0.07894944477808631,0.9569559433892558,0.12593470662031334,0.19620945546986873,0.3329794885202054,0.7936581274577066,0.21682931529698382,1.0,-0.904721475789136,0.936990385991029,0.055778199846369406,0.8563047866891988,0.1615627102807763,-0.8631574600122678,0.7992975325820865,-0.1819974613595079,0.7168244712615085,0.05339408186497932,0.8689499880899456,0.950019058437557,0.21998146670618662,-0.07860623239202516,0.8432737219166648
