,Parietal_Sup_L,Cerebellum_Crus1_L,Pallidum_L,Thal_PuA_R,OFCpost_L,Frontal_Inf_Tri_L,OFCmed_L,Temporal_Sup_L,Angular_L,Frontal_Sup_Medial_L
Parietal_Sup_L,1.0,0.03861238533568518,-0.9645467545126944,-0.9738503657049277,-0.9172041901533007,0.6829630858080225,-0.739737439023952,0.19577733354395646,0.756203250972611,0.595854334849831
Cerebellum_Crus1_L,0.03861238533568518,1.0,0.07586066218823985,-0.22343672643795193,0.2625855116368162,0.45134598716711644,-0.2661441590872983,0.9649967015801971,0.04152201810980078,-0.4608011289149999
Pallidum_L,-0.9645467545126944,0.07586066218823985,1.0,0.9021787750374421,0.9696624832925897,-0.5018614829133475,0.8181687568683836,-0.09278140375962346,-0.6031850220510974,-0.5613648750480909
Thal_PuA_R,-0.9738503657049277,-0.22343672643795193,0.9021787750374421,1.0,0.8176942228416879,-0.8080701480409115,0.7045573810403399,-0.35565778371590306,-0.8084882152512203,-0.5462840259248499
OFCpost_L,-0.9172041901533007,0.2625855116368162,0.9696624832925897,0.8176942228416879,1.0,-0.3558124061640721,0.7661440142976415,0.0712851850866112,-0.5319807310850315,-0.5526802853226673
Frontal_Inf_Tri_L,0.6829630858080225,0.45134598716711644,-0.5018614829133475,-0.8080701480409115,-0.3558124061640721,1.0,-0.2436665843471838,0.4566397965040225,0.9081484970757407,0.5346105993848914
OFCmed_L,-0.739737439023952,-0.2661441590872983,0.8181687568683836,0.7045573810403399,0.7661440142976415,-0.2436665843471838,1.0,-0.4551084540089153,-0.1580223573809977,-0.0015025630830514498
Temporal_Sup_L,0.19577733354395646,0.9649967015801971,-0.09278140375962346,-0.35565778371590306,0.0712851850866112,0.4566397965040225,-0.4551084540089153,1.0,0.06642406112687542,-0.4705493259053031
Angular_L,0.756203250972611,0.04152201810980078,-0.6031850220510974,-0.8084882152512203,-0.5319807310850315,0.9081484970757407,-0.1580223573809977,0.06642406112687542,1.0,0.8052085961292089
Frontal_Sup_Medial_L,0.595854334849831,-0.4608011289149999,-0.5613648750480909,-0.5462840259248499,-0.5526802853226673,0.5346105993848914,-0.0015025630830514498,-0.4705493259053031,0.8052085961292089,1.0
